Serie_Las_Isletillas.psv ->> ID..........................: 811
Serie_Las_Isletillas.psv ->> CLASIFICACION...............: Haplustol típico
Serie_Las_Isletillas.psv ->> SERIE.......................: LAS ISLETILLAS (Islt)
Serie_Las_Isletillas.psv ->> UBICACION...................: 4,3 Km al Norte de Hernando, departamento Tercero Arriba
Serie_Las_Isletillas.psv ->> PROVINCIA...................: CORDOBA
Serie_Las_Isletillas.psv ->> LATITUD.....................: S322100
Serie_Las_Isletillas.psv ->> LONGITUD....................: O633200
Serie_Las_Isletillas.psv ->> ALTITUD.....................: 255
Serie_Las_Isletillas.psv ->> PENDIENTE...................: FALTA!
Serie_Las_Isletillas.psv ->> DRENAJE.....................: FALTA!
Serie_Las_Isletillas.psv ->> ESCURRIMIENTO...............: FALTA!
Serie_Las_Isletillas.psv ->> PERMEABILIDAD...............: FALTA!
Serie_Las_Isletillas.psv ->> TIPO DE SUELO...............: LIMOSA GRUESA, MIXTA, TÉRMICA
Serie_Las_Isletillas.psv ->> COLOR ......................: PARDO GRISÁCEO MUY OSCURO
Serie_Las_Isletillas.psv ->> HORIZONTE->NOMBRE(S)........: a | bw | c | ck
Serie_Las_Isletillas.psv ->> HORIZONTE->PROFUNDIDADES(CM): 0-23 | 23-48 | 48-95 | 95a+
Serie_Las_Isletillas.psv ->> HORIZONTE->MATERIA ORGÁN.(%): 2,2 | 1,7 | - | -
Serie_Las_Isletillas.psv ->> HORIZONTE->CARBONO ORGÁN.(%): 1,3 | 1,0 | - | -
Serie_Las_Isletillas.psv ->> HORIZONTE->NITRÓGENO TOT.(%): 0,13 | 0,12 | - | -
Serie_Las_Isletillas.psv ->> HORIZONTE->RELACIÓN C/N.....: 10,0 | 8,3 | - | -
Serie_Las_Isletillas.psv ->> HORIZONTE->ARCILLA 2 (%)....: 20,2 | 21,5 | 15,2 | 14,6
Serie_Las_Isletillas.psv ->> HORIZONTE->LIMO 2-50 (%)....: 59,1 | 54,0 | 59,1 | 59,9
Serie_Las_Isletillas.psv ->> HORIZONTE->AMF 50-100 (%)...: 19,9 | 22,4 | 25,7 | 26,0
Serie_Las_Isletillas.psv ->> HORIZONTE->AF 100-250 (%)...: 0,7 | 0,3 | 0,9 | 0,9
Serie_Las_Isletillas.psv ->> HORIZONTE->AM 250-500 (%)...: 0,0 | 0,0 | 0,0 | 0,0
Serie_Las_Isletillas.psv ->> HORIZONTE->AG 500-1000 (%)..: 0,0 | 0,0 | 0,0 | 0,0
Serie_Las_Isletillas.psv ->> HORIZONTE->AMG 1-2 mm (%)...: 0,0 | 0,0 | 0,0 | 0,0
Serie_Las_Isletillas.psv ->> HORIZONTE->CaCO 3 (%).......: 0,0 | 0,0 | 0,0 | 4,2
Serie_Las_Isletillas.psv ->> HORIZONTE->EQUIV. HUMEDAD(%): 22,1 | 24,4 | 19,9 | 19,1
Serie_Las_Isletillas.psv ->> HORIZONTE->PH PASTA.........: 5,6 | 6,0 | 6,6 | 8,0
Serie_Las_Isletillas.psv ->> HORIZONTE->PH H2O 1:2,5.....: 6,0 | 6,3 | 7,1 | 8,2
Serie_Las_Isletillas.psv ->> HORIZONTE->CI ME/100G-Ca ++.: 14,0 | 16,1 | 14,3 | 
Serie_Las_Isletillas.psv ->> HORIZONTE->CI ME/100G-Mg ++.: 0,9 | 0,7 | 1,6 | 
Serie_Las_Isletillas.psv ->> HORIZONTE->CI ME/100G-Na +..: 0,2 | 0,1 | 0,1 | 0,1
Serie_Las_Isletillas.psv ->> HORIZONTE->CI ME/100G-K +...: 2,4 | 2,0 | 1,6 | 1,5
Serie_Las_Isletillas.psv ->> HORIZONTE->CI ME/100G-H +...: 2,5 | 1,7 | 0,8 | 
Serie_Las_Isletillas.psv ->> HORIZONTE->Na INTERC % (PSI): 1,0 | 0,5 | 0,5 | 0,7
Serie_Las_Isletillas.psv ->> HORIZONTE->SUM.B. ME/100G(S): 17,5 | 18,9 | 17,6 | 
Serie_Las_Isletillas.psv ->> HORIZONTE->CIC ME/100G(T)...: 19,9 | 20,6 | 18,3 | 14,5
Serie_Las_Isletillas.psv ->> HORIZONTE->SAT.B % (S/T)....: 87,9 | 91,7 | 96,2 | 
