ap    |  a      |  bw     |  bc     |  ck
0-10  |  10-22  |  22-49  |  49-78  |  78a+
1,72  |  1,89   |  1      |  0,5    |
1,0   |  1,1    |  0,6    |  0,3    |
0,1   |  0,16   |  0,11   |  -      |
1,0   |  6,9    |  5,4    |  -      |
15,4  |  16,0   |  17,0   |  12,1   |  11,3
48,6  |  48,0   |  44,1   |  46,6   |  48,1
32,4  |  32,9   |  36,3   |  38,2   |  39,0
2,3   |  1,3    |  0,9    |  1,6    |  0,2
0,4   |  0,6    |  0,0    |  0,0    |  0,0
0,0   |  0,0    |  0,0    |  0,0    |  0,0
0,0   |  0,0    |  0,0    |  0,0    |  0,0
0,0   |  0,0    |  0,0    |  0,0    |  3,0
17,8  |  17,6   |  17,6   |  14,2   |  14,1
5,5   |  5,6    |  6,7    |  7,3    |  8,3
5,8   |  5,9    |  6,9    |  7,5    |  8,6
6,0   |  7,7    |  7,9    |  8,2    |
0,7   |  0,5    |  1,0    |  1,0    |
0,3   |  0,2    |  0,2    |  0,3    |  3,5
2,5   |  1,8    |  1,9    |  1,0    |  1,2
2,3   |  2,2    |  0,8    |  0,3    |
2,5   |  1,6    |  1,7    |  2,8    |
36    |  -      |  -      |  -      |  -
9,5   |  10,2   |  11,2   |  10,5   |  -
11,9  |  12,5   |  12,0   |  10,9   |  9,7
79,8  |  81,6   |  93,3   |  96,3   |
