a     |  ac     |  c      |  ck
0-23  |  23-50  |  50-78  |  78a+
-     |  -      |  -      |  -
1,7   |  0,9    |  -      |  -
0,18  |  0,09   |  -      |  -
9,4   |  10     |  -      |  -
18,2  |  14,5   |  13,9   |  13,1
53,4  |  52,5   |  51,7   |  52,1
25,4  |  31,2   |  31,5   |  32,6
1,2   |  1,1    |  1,8    |  2,3
0,3   |  0,0    |  0,0    |  0,0
0,0   |  0,0    |  0,0    |  0,0
0,0   |  0,0    |  0,0    |  0,0
0,0   |  0,0    |  0,8    |  3,2
21,2  |  19,7   |  18,2   |  18,2
6,0   |  7,7    |  8,4    |  8,6
6,2   |  8,1    |  9,2    |  9,4
7,9   |  7,9    |  -      |
0,7   |  0,9    |  -      |
1,5   |  2,4    |  2,5    |  1,9
2,9   |  2,4    |  1,9    |  2,1
1,9   |  -      |  -      |
10,1  |  -      |  3,78   |  8,15
13,0  |  13,6   |  -      |
14,9  |  13,3   |  12,8   |  11,6
87    |  100    |  -      |
