Serie_Etruria.psv ->> ID..........................: 805
Serie_Etruria.psv ->> CLASIFICACION...............: Endoacuol típico
Serie_Etruria.psv ->> SERIE.......................: ETRURIA (Etr)
Serie_Etruria.psv ->> UBICACION...................: 11,5 km al Oeste de Etruria, departamento General San Martín
Serie_Etruria.psv ->> PROVINCIA...................: CORDOBA
Serie_Etruria.psv ->> LATITUD.....................: S325500
Serie_Etruria.psv ->> LONGITUD....................: O642200
Serie_Etruria.psv ->> ALTITUD.....................: 170
Serie_Etruria.psv ->> PENDIENTE...................: FALTA!
Serie_Etruria.psv ->> DRENAJE.....................: FALTA!
Serie_Etruria.psv ->> ESCURRIMIENTO...............: FALTA!
Serie_Etruria.psv ->> PERMEABILIDAD...............: FALTA!
Serie_Etruria.psv ->> TIPO DE SUELO...............: FRANCA GRUESA, MIXTA, TÉRMICA
Serie_Etruria.psv ->> COLOR ......................: PARDO GRISÁCEO MUY OSCURO
Serie_Etruria.psv ->> HORIZONTE->NOMBRE(S)........: a | ac | c | ck
Serie_Etruria.psv ->> HORIZONTE->PROFUNDIDADES(CM): 0-23 | 23-50 | 50-78 | 78a+
Serie_Etruria.psv ->> HORIZONTE->MATERIA ORGÁN.(%): - | - | - | -
Serie_Etruria.psv ->> HORIZONTE->CARBONO ORGÁN.(%): 1,7 | 0,9 | - | -
Serie_Etruria.psv ->> HORIZONTE->NITRÓGENO TOT.(%): 0,18 | 0,09 | - | -
Serie_Etruria.psv ->> HORIZONTE->RELACIÓN C/N.....: 9,4 | 10 | - | -
Serie_Etruria.psv ->> HORIZONTE->ARCILLA 2 (%)....: 18,2 | 14,5 | 13,9 | 13,1
Serie_Etruria.psv ->> HORIZONTE->LIMO 2-50 (%)....: 53,4 | 52,5 | 51,7 | 52,1
Serie_Etruria.psv ->> HORIZONTE->AMF 50-100 (%)...: 25,4 | 31,2 | 31,5 | 32,6
Serie_Etruria.psv ->> HORIZONTE->AF 100-250 (%)...: 1,2 | 1,1 | 1,8 | 2,3
Serie_Etruria.psv ->> HORIZONTE->AM 250-500 (%)...: 0,3 | 0,0 | 0,0 | 0,0
Serie_Etruria.psv ->> HORIZONTE->AG 500-1000 (%)..: 0,0 | 0,0 | 0,0 | 0,0
Serie_Etruria.psv ->> HORIZONTE->AMG 1-2 mm (%)...: 0,0 | 0,0 | 0,0 | 0,0
Serie_Etruria.psv ->> HORIZONTE->CaCO 3 (%).......: 0,0 | 0,0 | 0,8 | 3,2
Serie_Etruria.psv ->> HORIZONTE->EQUIV. HUMEDAD(%): 21,2 | 19,7 | 18,2 | 18,2
Serie_Etruria.psv ->> HORIZONTE->PH PASTA.........: 6,0 | 7,7 | 8,4 | 8,6
Serie_Etruria.psv ->> HORIZONTE->PH H2O 1:2,5.....: 6,2 | 8,1 | 9,2 | 9,4
Serie_Etruria.psv ->> HORIZONTE->CI ME/100G-Ca ++.: 7,9 | 7,9 | - | 
Serie_Etruria.psv ->> HORIZONTE->CI ME/100G-Mg ++.: 0,7 | 0,9 | - | 
Serie_Etruria.psv ->> HORIZONTE->CI ME/100G-Na +..: 1,5 | 2,4 | 2,5 | 1,9
Serie_Etruria.psv ->> HORIZONTE->CI ME/100G-K +...: 2,9 | 2,4 | 1,9 | 2,1
Serie_Etruria.psv ->> HORIZONTE->CI ME/100G-H +...: 1,9 | - | - | 
Serie_Etruria.psv ->> HORIZONTE->Na INTERC % (PSI): 10,1 | - | 3,78 | 8,15
Serie_Etruria.psv ->> HORIZONTE->SUM.B. ME/100G(S): 13,0 | 13,6 | - | 
Serie_Etruria.psv ->> HORIZONTE->CIC ME/100G(T)...: 14,9 | 13,3 | 12,8 | 11,6
Serie_Etruria.psv ->> HORIZONTE->SAT.B % (S/T)....: 87 | 100 | - | 
