HORIZONTE->NOMBRE(S)........# : a | bt1 | bt2 | bc | bcm
HORIZONTE->Profundidad muestra# cm: 0-15 | 15-52 | 52-72 | 72-96 | + 96
HORIZONTE->Mat. orgánica# %: 4.05 | 1.67 | 0.83 | 0.59 | 0.59
HORIZONTE->C orgánico# %: 2.35 | 0.97 | 0.48 | 0.34 | 0.34
HORIZONTE->N total# %: 0.185 | 0.102 | 0.068 | 0.067 | 0.062
HORIZONTE->Relación C/N# ---: 13 | 10 | 7 | 5 | 5
HORIZONTE->Arcilla < 2µ# %: 28.0 | 37.2 | 34.5 | 32.5 | 28.6
HORIZONTE->Limo 2-50µ# %: 70.0 | 61.9 | 65.2 | 59.4 | 68.1
HORIZONTE->TOTAL# %: 99.9 | 100.7 | 100.8 | 98.9 | 100.1
HORIZONTE->Limo 2-20µ# %: --- | --- | --- | --- | ---
HORIZONTE->Muy fina 50-100µ# %: 1.7 | 1.1 | 0.6 | 5.0 | 2.2
HORIZONTE->Fina 100-250µ# %: 0.2 | 0.5 | 0.5 | 2.0 | 1.2
HORIZONTE->Media 250-500µ# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Gruesa 500-1000µ# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Muy gruesa 1-2mm# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Calcáreo, CaCO3# %: 0.00 | 0.60 | 0.00 | 0.00 | 0.20
HORIZONTE->Equiv.humedad# %: 38.2 | 47.6 | 43.4 | 44.8 | 40.1
HORIZONTE->Resist.pasta# ohms: --- | --- | --- | --- | ---
HORIZONTE->pH pasta (1:1)# ---: 6.9 | 7.7 | 7.7 | 7.7 | 7.6
HORIZONTE->pH agua (1:2,5)# ---: 7.0 | 8.1 | 8.1 | 8.2 | 8.3
HORIZONTE->pH 1N ClK (1:2,5)# ---: --- | --- | --- | --- | ---
HORIZONTE->Ca++ intercambio# me/100g: 13.4 | --- | 17.8 | 18.7 | ---
HORIZONTE->Mg++ intercambio# me/100g: 3.8 | --- | 3.9 | 2.5 | ---
HORIZONTE->Na+ intercambio# me/100g: 2.1 | --- | 4.1 | 3.2 | 2.7
HORIZONTE->K+ intercambio# me/100g: 2.3 | 1.4 | 2.9 | 3.0 | 2.1
HORIZONTE->H+ intercambio# me/100g: 1.6 | --- | --- | --- | ---
HORIZONTE->(Na+/T)# %: 9.2 | --- | 14.3 | 12.3 | 12.6
HORIZONTE->C.I.C., (T)# me/100g: 22.9 | 33.6 | 28.7 | 26.0 | 21.4
HORIZONTE->Suma bases (S)# me/100g: 21.6 | --- | 28.7 | 27.4 | ---
HORIZONTE->Sat.bases, (S/T)# %: 94 | --- | 100 | 105 | ---
HORIZONTE->Comp. Extr. Sat.# : - | - | - | - | 
HORIZONTE->Ca++# me/l: --- | --- | --- | 9.4 | 5.4
HORIZONTE->Mg++# me/l: --- | --- | --- | 8.6 | 5.6
HORIZONTE->Na+# me/l: --- | --- | --- | 42.0 | 40.0
HORIZONTE->K+# me/l: --- | --- | --- | 0.8 | 0.9
HORIZONTE->CO3-# me/l: --- | --- | --- | 3.0 | 1.5
HORIZONTE->SO4=# me/l: --- | --- | --- | 43.8 | 43.8
HORIZONTE->Cl-# me/l: --- | --- | --- | 15.0 | 6.0
HORIZONTE->RAS# ---: --- | --- | --- | 14 | 17
