HORIZONTE->NOMBRE(S)........# : a | e | bt1 | bt2 | bt3 | bc | c
HORIZONTE->Profundidad# cm: 0-16 | 16-22 | 22-45 | 45-70 | 70-91 | 97-150 | 150-190
HORIZONTE->Mat. orgánica# %: 2.76 | 1.38 | 1.21 | 0.52 | 0.17 | --- | ---
HORIZONTE->C orgánico# %: 1.60 | 0.80 | 0.70 | 0.30 | 0.10 | --- | ---
HORIZONTE->N total# %: 0.153 | 0.080 | 0.060 | 0.040 | --- | --- | ---
HORIZONTE->Relación C/N# ---: 10 | 10 | 12 | 8 | --- | --- | ---
HORIZONTE->Arcilla < 2µ# %: 25.0 | 23.8 | 46.0 | 48.2 | 44.8 | 39.3 | 28.1
HORIZONTE->Limo 2-50µ# %: 64.6 | 66.9 | 46.6 | 46.3 | 49.3 | 53.7 | 63.6
HORIZONTE->TOTAL# %: 100.0 | 100.0 | 99.1 | 100.0 | 100.0 | 100.0 | 100.0
HORIZONTE->Limo 2-20µ# %: --- | --- | --- | --- | --- | --- | ---
HORIZONTE->Muy fina 50-100µ# %: 6.6 | 6.0 | 4.4 | 4.0 | 3.9 | 5.2 | 5.9
HORIZONTE->Fina 100-250µ# %: 2.5 | 2.7 | 1.6 | 1.3 | 1.5 | 1.5 | 2.0
HORIZONTE->Media 250-500µ# %: 1.3 | 0.6 | 0.5 | 0.2 | 0.5 | 0.3 | 0.4
HORIZONTE->Gruesa 500-1000µ# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Muy gruesa 1-2mm# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Calcáreo, CaCO3# %: --- | --- | --- | --- | --- | --- | ---
HORIZONTE->Equiv.humedad# %: --- | --- | --- | --- | --- | --- | ---
HORIZONTE->Resist.pasta# ohms: 3818 | 5345 | 725 | 725 | 916 | 1013 | 1063
HORIZONTE->pH pasta (1:1)# ---: 5.3 | 5.4 | 6.9 | 7.5 | 7.9 | 7.9 | 8.1
HORIZONTE->pH agua (1:2,5)# ---: 5.4 | 5.6 | 7.4 | 7.7 | 8.4 | 8.2 | 8.3
HORIZONTE->pH 1N ClK (1:2,5)# ---: 4.9 | 4.9 | 5.9 | 6.1 | 6.2 | 6.2 | 6.3
HORIZONTE->Ca++ intercambio# me/100g: 8.7 | 6.2 | 15.1 | 16.3 | 13.8 | 11.4 | 11.3
HORIZONTE->Mg++ intercambio# me/100g: 2.0 | 1.9 | 2.0 | 3.0 | 1.9 | 2.0 | 1.8
HORIZONTE->Na+ intercambio# me/100g: 1.2 | 1.1 | 4.1 | 4.4 | 4.3 | 4.3 | 4.6
HORIZONTE->K+ intercambio# me/100g: 0.6 | 0.3 | 1.0 | 1.1 | 1.3 | 1.1 | 1.3
HORIZONTE->H+ intercambio# me/100g: 2.2 | 1.9 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->(Na+/T)# %: 6.4 | 10.8 | 16.6 | 19.0 | 22.4 | 23.2 | 23.4
HORIZONTE->C.I.C., (T)# me/100g: 18.7 | 10.2 | 24.7 | 23.1 | 19.2 | 18.5 | 19.7
HORIZONTE->Suma bases (S)# me/100g: 12.5 | 9.5 | 22.2 | 24.8 | 21.3 | 18.8 | 19.0
HORIZONTE->Sat.bases, (S/T)# %: 67 | 93 | 90 | 107 | 111 | 102 | 96
