HORIZONTE->NOMBRE(S)........# : a | e | bt1 | bt2 | bt3 | bc
HORIZONTE->Profundidad muestra# cm: 0 | 14 | 25 | 56 | 75 | 110
HORIZONTE->Mat. orgánica# %: 2.40 | 1.19 | 0.79 | 0.47 | 0.38 | 0.38
HORIZONTE->C orgánico# %: 1.39 | 0.69 | 0.46 | 0.27 | 0.22 | 0.22
HORIZONTE->N total# %: 0.144 | 0.073 | 0.054 | 0.032 | 0.032 | 0.033
HORIZONTE->Relación C/N# ---: 10 | 9 | 9 | 8 | 7 | 7
HORIZONTE->Arcilla < 2µ# %: 38.2 | 32.7 | 51.5 | 47.8 | 40.7 | 30.4
HORIZONTE->Limo 2-50µ# %: 56.0 | 62.2 | 44.5 | 46.9 | 53.1 | 57.6
HORIZONTE->TOTAL# %: 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0
HORIZONTE->Limo 2-20µ# %: --- | --- | --- | --- | --- | ---
HORIZONTE->Muy fina 50-100µ# %: 4.6 | 4.2 | 3.6 | 4.7 | 5.5 | 10.3
HORIZONTE->Fina 100-250µ# %: 1.2 | 0.9 | 0.4 | 0.6 | 0.7 | 1.7
HORIZONTE->Media 250-500µ# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Gruesa 500-1000µ# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Muy gruesa 1-2mm# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Calcáreo, CaCO3# %: 0.0 | 0.0 | 0.0 | 0.0 | vest. | vest.
HORIZONTE->Equiv.humedad# %: 36.1 | 31.4 | 40.0 | 38.1 | 35.1 | 29.1
HORIZONTE->Resist.pasta# ohms: --- | --- | --- | --- | --- | ---
HORIZONTE->pH pasta (1:1)# ---: 5.6 | 5.9 | 6.1 | 6.6 | 7.0 | 7.4
HORIZONTE->pH agua (1:2,5)# ---: 6.0 | 6.4 | 6.7 | 6.9 | 7.8 | 8.2
HORIZONTE->pH 1N ClK (1:2,5)# ---: --- | --- | --- | --- | --- | ---
HORIZONTE->Ca++ intercambio# me/100g: 11.8 | 11.5 | 20.7 | 17.6 | --- | ---
HORIZONTE->Mg++ intercambio# me/100g: 4.3 | 3.8 | 7.0 | 6.3 | --- | ---
HORIZONTE->Na+ intercambio# me/100g: 0.4 | 0.4 | 0.6 | 0.7 | 0.9 | 1.2
HORIZONTE->K+ intercambio# me/100g: 3.0 | 2.3 | 3.0 | 2.5 | 2.7 | 2.5
HORIZONTE->H+ intercambio# me/100g: 7.1 | 4.3 | 5.3 | 3.9 | --- | ---
HORIZONTE->(Na+/T)# %: 1.6 | 2.0 | 1.8 | 2.5 | 4.0 | 6.7
HORIZONTE->C.I.C., (T)# me/100g: 25.0 | 19.9 | 32.8 | 27.5 | 22.6 | 17.9
HORIZONTE->Suma bases (S)# me/100g: 19.5 | 18.0 | 31.3 | 27.1 | --- | ---
HORIZONTE->Sat.bases, (S/T)# %: 78 | 90 | 95 | 99 | --- | ---
