HORIZONTE->NOMBRE(S)........# : ap | b | bc | c
HORIZONTE->Profundidad muestra# cm: 10 | 40 | 70 | 110
HORIZONTE->Mat. orgánica# %: 2.21 | 0.86 | 0.40 | ---
HORIZONTE->C orgánico# %: 1.28 | 0.50 | 0.23 | ---
HORIZONTE->N total# %: 0.135 | 0.076 | --- | ---
HORIZONTE->Relación C/N# ---: 9 | 7 | --- | ---
HORIZONTE->Arcilla < 2µ# %: 21.8 | 21.8 | 20.3 | 16.4
HORIZONTE->Limo 2-50µ# %: 23.9 | 21.8 | 20.6 | 22.1
HORIZONTE->TOTAL# %: 100.0 | 100.0 | 100.0 | 100.0
HORIZONTE->Limo 2-20µ# %: --- | --- | --- | ---
HORIZONTE->Muy fina 50-100µ# %: 43.7 | 41.5 | 46.0 | 47.0
HORIZONTE->Fina 100-250µ# %: 10.6 | 14.9 | 13.1 | 14.5
HORIZONTE->Media 250-500µ# %: 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Gruesa 500-1000µ# %: 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Muy gruesa 1-2mm# %: 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Calcáreo, CaCO3# %: 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Equiv.humedad# %: 18.2 | 16.6 | 14.2 | 13.4
HORIZONTE->Resist.pasta# ohms: --- | --- | --- | ---
HORIZONTE->pH pasta (1:1)# ---: 5.9 | 6.6 | 6.8 | 7.2
HORIZONTE->pH agua (1:2,5)# ---: 6.3 | 7.1 | 7.4 | 7.6
HORIZONTE->pH 1N ClK (1:2,5)# ---: --- | --- | --- | ---
HORIZONTE->Ca++ intercambio# me/100g: 8.5 | 7.0 | 6.3 | 4.8
HORIZONTE->Mg++ intercambio# me/100g: 1.6 | 2.9 | 3.2 | 4.5
HORIZONTE->Na+ intercambio# me/100g: 0.3 | 0.3 | 0.5 | 0.5
HORIZONTE->K+ intercambio# me/100g: 1.5 | 2.9 | 2.4 | 2.4
HORIZONTE->H+ intercambio# me/100g: --- | --- | --- | ---
HORIZONTE->(Na+/T)# %: 2.1 | 2.2 | 4.4 | 4.5
HORIZONTE->C.I.C., (T)# me/100g: 14.4 | 13.8 | 11.3 | 11.1
HORIZONTE->Suma bases (S)# me/100g: 11.9 | 13.1 | 12.4 | 12.2
HORIZONTE->Sat.bases, (S/T)# %: 83 | 95 | 110 | 110
