HORIZONTE->NOMBRE(S)........# : ap | a | ac | c
HORIZONTE->Profundidad# cm: 0 | 16 | 38 | 73
HORIZONTE->muestra# cm: 16 | 38 | 73 | 140
HORIZONTE->Mat. orgánica# %: 1.45 | 1.19 | 0.36 | 0.16
HORIZONTE->C orgánico# %: 0.84 | 0.69 | 0.21 | 0.09
HORIZONTE->N total# %: 0.082 | 0.064 | 0.034 | ---
HORIZONTE->Relación C/N# ---: 10 | 11 | 6 | ---
HORIZONTE->Arcilla < 2µ# %: 8.5 | 9.5 | 8.8 | 8.0
HORIZONTE->Limo 2-50µ# %: 9.3 | 9.5 | 8.0 | 6.4
HORIZONTE->TOTAL# %: 100.0 | 100.0 | 100.0 | 100.0
HORIZONTE->Limo 2-20µ# %: --- | --- | --- | ---
HORIZONTE->Muy fina 50-100µ# %: 67.7 | 66.4 | 67.6 | 69.4
HORIZONTE->Fina 100-250µ# %: 14.5 | 14.6 | 15.6 | 16.2
HORIZONTE->Media 250-500µ# %: 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Gruesa 500-1000µ# %: 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Muy gruesa 1-2mm# %: 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Calcáreo, CaCO3# %: 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Equiv.humedad# %: 9.6 | 10.3 | 8.6 | 7.3
HORIZONTE->Resist.pasta# ohms: --- | --- | --- | ---
HORIZONTE->pH pasta (1:1)# ---: 5.7 | 6.0 | 6.2 | 6.8
HORIZONTE->pH agua (1:2,5)# ---: 6.1 | 6.7 | 6.7 | 7.5
HORIZONTE->pH 1N ClK (1:2,5)# ---: --- | --- | --- | ---
HORIZONTE->Ca++ intercambio# me/100g: 8.4 | 6.4 | 6.4 | 5.3
HORIZONTE->Mg++ intercambio# me/100g: 1.4 | 1.6 | 2.9 | 2.6
HORIZONTE->Na+ intercambio# me/100g: 0.2 | 0.2 | 0.3 | 0.4
HORIZONTE->K+ intercambio# me/100g: 1.3 | 1.3 | 0.9 | 1.4
HORIZONTE->H+ intercambio# me/100g: 5.4 | 5.0 | 3.1 | 1.7
HORIZONTE->(Na+/T)# %: 1.6 | 1.5 | 2.7 | 3.8
HORIZONTE->C.I.C., (T)# me/100g: 12.9 | 13.1 | 11.0 | 10.5
HORIZONTE->Suma bases (S)# me/100g: 11.3 | 9.5 | 10.5 | 9.7
HORIZONTE->Sat.bases, (S/T)# %: 88 | 73 | 95 | 92
