HORIZONTE->NOMBRE(S)........# : ap | a | ba | bt1 | bt2 | bc | c
HORIZONTE->Profundidad# cm: 0 | 13 | 25 | 34 | 75 | 95 | 160
HORIZONTE->muestra# cm: 13 | 25 | 34 | 75 | 95 | 160 | 200
HORIZONTE->Mat. orgánica# %: 2.88 | 2.55 | 1.50 | 1.10 | 0.60 | 0.41 | 0.26
HORIZONTE->C orgánico# %: 1.67 | 1.48 | 0.87 | 0.64 | 0.35 | 0.24 | 0.15
HORIZONTE->N total# %: 0.158 | 0.143 | 0.106 | 0.090 | 0.06 | 0.04 | 0.02
HORIZONTE->Relación C/N# ---: 11 | 10 | 8 | 7 | 6 | 6 | 6
HORIZONTE->Arcilla < 2µ# %: 22.7 | 22.8 | 30.3 | 43.5 | 30.2 | 17.0 | 7.0
HORIZONTE->Limo 2-50µ# %: 64.8 | 65.1 | 56.8 | 47.5 | 56.4 | 65.5 | 69.9
HORIZONTE->TOTAL# %: 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0
HORIZONTE->Limo 2-20µ# %: --- | --- | --- | --- | --- | --- | ---
HORIZONTE->Muy fina 50-100µ# %: 11.3 | 11.7 | 11.9 | 8.6 | 12.6 | 14.3 | 15.7
HORIZONTE->Fina 100-250µ# %: 1.2 | 0.4 | 1.0 | 0.4 | 0.8 | 3.2 | 7.4
HORIZONTE->Media 250-500µ# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Gruesa 500-1000µ# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Muy gruesa 1-2mm# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Calcáreo, CaCO3# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.1
HORIZONTE->Equiv.humedad# %: 25.5 | 24.7 | 27.3 | 37.7 | 31.3 | 27.6 | 27.3
HORIZONTE->Resist.pasta# ohms: --- | --- | --- | --- | --- | --- | ---
HORIZONTE->pH pasta (1:1)# ---: 5.5 | 5.6 | 5.7 | 5.7 | 6.0 | 6.0 | 6.8
HORIZONTE->pH agua (1:2,5)# ---: 5.9 | 6.1 | 6.2 | 6.3 | 6.5 | 6.4 | 7.3
HORIZONTE->pH 1N ClK (1:2,5)# ---: --- | --- | --- | --- | --- | --- | ---
HORIZONTE->Ca++ intercambio# me/100g: 12.5 | 12.9 | 11.8 | 19.3 | 16.2 | 14.9 | 18.1
HORIZONTE->Mg++ intercambio# me/100g: 3.1 | 3.3 | 3.5 | 5.8 | 6.3 | 5.3 | 3.9
HORIZONTE->Na+ intercambio# me/100g: 0.6 | 0.5 | 0.6 | 0.6 | 0.6 | 0.5 | 0.6
HORIZONTE->K+ intercambio# me/100g: 1.6 | 1.2 | 1.2 | 2.4 | 2.2 | 2.2 | 2.0
HORIZONTE->H+ intercambio# me/100g: 7.8 | 6.8 | 5.8 | 6.0 | 5.4 | 4.8 | 3.5
HORIZONTE->(Na+/T)# %: 2.8 | 2.5 | 3.2 | 1.9 | 2.2 | 2.1 | 2.4
HORIZONTE->C.I.C., (T)# me/100g: 21.1 | 20.3 | 18.6 | 32.0 | 27.2 | 24.1 | 25.3
HORIZONTE->Suma bases (S)# me/100g: 17.8 | 17.9 | 17.1 | 28.1 | 25.3 | 22.9 | 24.6
HORIZONTE->Sat.bases, (S/T)# %: 84 | 88 | 92 | 88 | 93 | 95 | 97
