HORIZONTE->NOMBRE(S)........# : a | e | bt1 | bt2 | bc | c
HORIZONTE->Profundidad muestra# cm: 4-18 | 21-28 | 38-58 | 68-74 | 95-102 | 115-125
HORIZONTE->Mat. orgánica# %: 3.29 | 2.19 | 1.41 | 0.62 | 0.34 | 
HORIZONTE->C orgánico# %: 1.91 | 1.27 | 0.82 | 0.36 | 0.20 | 
HORIZONTE->N total# %: 0.139 | 0.094 | 0.079 | 0.045 | - | 
HORIZONTE->Relación C/N# ---: 13 | 11 | 9 | 8 | - | 
HORIZONTE->Arcilla < 2µ# %: 25.8 | 23.4 | 53.6 | 45.9 | 31.1 | 24.6
HORIZONTE->Limo 2-50µ# %: 65.1 | 66.4 | 41.0 | 48.7 | 62.9 | 65.8
HORIZONTE->TOTAL# %: 100 | 100 | 100 | 100 | 100 | 100
HORIZONTE->Limo 2-20µ# %: 26.5 | 35.5 | 20.7 | 27.3 | 34.4 | 36.6
HORIZONTE->Muy fina 50-100µ# %: 8.9 | 9.8 | 5.0 | 5.0 | 4.9 | 8.5
HORIZONTE->Fina 100-250µ# %: 0.2 | 0.4 | 0.4 | 0.4 | 1.1 | 1.1
HORIZONTE->Media 250-500µ# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Gruesa 500-1000µ# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Muy gruesa 1-2mm# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Calcáreo, CaCO3# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | vestigios
HORIZONTE->Equiv.humedad# %: 27.4 | 25.1 | 43.7 | 39.2 | 30.0 | 28.7
HORIZONTE->Resist.pasta# ohms: - | - | - | - | - | 
HORIZONTE->pH pasta (1:1)# ---: 5.7 | 5.9 | 6.7 | 6.8 | 6.8 | 7.2
HORIZONTE->pH agua (1:2,5)# ---: 7.2 | 7.2 | 7.4 | 7.4 | 7.4 | 8.1
HORIZONTE->pH 1N ClK (1:2,5)# ---: - | - | - | - | - | 
HORIZONTE->Ca++ intercambio# me/100g: 8.2 | 7.1 | 17.7 | 14.3 | 12.8 | 
HORIZONTE->Mg++ intercambio# me/100g: 3.9 | 2.9 | 8.8 | 8.2 | 7.3 | 
HORIZONTE->Na+ intercambio# me/100g: 0.6 | 0.9 | 3.4 | 2.4 | 4.3 | 5.6
HORIZONTE->K+ intercambio# me/100g: 2.7 | 2.1 | 3.2 | 3.1 | 3.2 | 3.2
HORIZONTE->H+ intercambio# me/100g: 7.8 | 5.8 | 5.9 | 3.6 | 2.7 | 
HORIZONTE->(Na+/T)# %: - | 6 | 9 | 8 | 15 | 23
HORIZONTE->C.I.C., (T)# me/100g: 18.1 | 15.0 | 35.4 | 29.1 | 27.4 | 24.0
HORIZONTE->Suma bases (S)# me/100g: 15.4 | 13.0 | 33.1 | 28.0 | 27.6 | 
HORIZONTE->Sat.bases, (S/T)# %: 85 | 87 | 93 | 96 | 100 | 
