HORIZONTE->NOMBRE(S)........# : e | bt1 | bt2 | bc | c
HORIZONTE->Profundidad muestra# cm: 0-14 | 14-35 | 35-60 | 60-98 | 98-217
HORIZONTE->Mat. orgánica# %: 1.90 | 1.03 | 0.34 | 0.17 | 0.17
HORIZONTE->C orgánico# %: 1.10 | 0.60 | 0.20 | 0.10 | 0.10
HORIZONTE->N total# %: 0.142 | 0.072 | 0.061 | 0.046 | 0.036
HORIZONTE->Relación C/N# ---: 8 | 8 | 3 | 2 | 3
HORIZONTE->Arcilla < 2µ# %: 26.7 | 47.9 | 45.7 | 36.9 | 30.9
HORIZONTE->Limo 2-50µ# %: 64.1 | 45.8 | 48.9 | 56.4 | 61.6
HORIZONTE->TOTAL# %: 100.0 | 100.0 | 100.0 | 100.0 | 100.0
HORIZONTE->Limo 2-20µ# %: 32.5 | 23.8 | 26.1 | 30.6 | 34.6
HORIZONTE->Muy fina 50-100µ# %: 6.1 | 4.6 | 4.1 | 5.1 | 5.5
HORIZONTE->Fina 100-250µ# %: 2.5 | 1.4 | 1.1 | 1.4 | 1.9
HORIZONTE->Media 250-500µ# %: 0.6 | 0.3 | 0.2 | 0.2 | 0.1
HORIZONTE->Gruesa 500-1000µ# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Muy gruesa 1-2mm# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Calcáreo, CaCO3# %: --- | --- | --- | --- | ---
HORIZONTE->Equiv.humedad# %: --- | --- | --- | --- | ---
HORIZONTE->Resist.pasta# ohms: 697 | 201 | 226 | 405 | 829
HORIZONTE->pH pasta (1:1)# ---: 7.6 | 8.8 | 9.0 | 9.1 | 8.5
HORIZONTE->pH agua (1:2,5)# ---: 8.1 | 9.0 | 9.2 | 9.3 | 8.7
HORIZONTE->pH 1N ClK (1:2,5)# ---: 6.8 | 7.6 | 7.9 | 7.8 | 7.4
HORIZONTE->Ca++ intercambio# me/100g: 6.2 | 6.8 | 8.0 | 4.3 | 6.0
HORIZONTE->Mg++ intercambio# me/100g: 1.5 | 2.2 | 0.6 | 0.5 | 1.7
HORIZONTE->Na+ intercambio# me/100g: 4.4 | 13.4 | 13.9 | 14.1 | 11.1
HORIZONTE->K+ intercambio# me/100g: 0.5 | 1.3 | 1.4 | 1.4 | 1.4
HORIZONTE->H+ intercambio# me/100g: 1.5 | 0.0 | 0.4 | 0.7 | 0.7
HORIZONTE->(Na+/T)# %: 33.3 | 55.8 | 55.6 | 65.3 | 54.4
HORIZONTE->C.I.C., (T)# me/100g: 13.2 | 24.0 | 25.0 | 21.6 | 20.4
HORIZONTE->Suma bases (S)# me/100g: 12.6 | 23.7 | 23.9 | 20.3 | 20.2
HORIZONTE->Sat.bases, (S/T)# %: 95 | 99 | 96 | 94 | 99
