HORIZONTE->NOMBRE(S)........# : ap | be | bt1 | bt2 | bc | c
HORIZONTE->Profundidad muestra# cm: 0-18 | 18-37 | 37-65 | 65-85 | 85-100 | 100 +
HORIZONTE->Mat. orgánica# %: 3.99 | 1.50 | 1.02 | 0.71 | 0.47 | 0.34
HORIZONTE->C orgánico# %: 2.3 | 0.87 | 0.59 | 0.41 | 0.27 | 0.20
HORIZONTE->N total# %: 0.174 | 0.083 | 0.067 | 0.06 | 0.049 | 0.04
HORIZONTE->Relación C/N# ---: 13 | 10 | 9 | 6 | 6 | 5
HORIZONTE->Arcilla < 2µ# %: 23.5 | 31.6 | 36.4 | 46.8 | 41.3 | 
HORIZONTE->Limo 2-50µ# %: 47.1 | 42.2 | 39.7 | 35.5 | 41.1 | 
HORIZONTE->TOTAL# %: 100 | 100 | 100 | 100 | 100 | 
HORIZONTE->Limo 2-20µ# %: 24 | 21 | 21 | 21.8 | 24.7 | 
HORIZONTE->Muy fina 50-100µ# %: 16.5 | 14.6 | 13. | 9.4 | 10.4 | 
HORIZONTE->Fina 100-250µ# %: 11.3 | 10.4 | 9.5 | 6.7 | 6 | 
HORIZONTE->Media 250-500µ# %: 1.4 | 1.2 | 1.3 | 1.3 | 1 | 
HORIZONTE->Gruesa 500-1000µ# %: 0.1 | 0.09 | 0.1 | 0.3 | 0.23 | 
HORIZONTE->Muy gruesa 1-2mm# %: ---- | 0.05 | ---- | 0.06 | ---- | 
HORIZONTE->Calcáreo, CaCO3# %: - | - | - | - | - | 
HORIZONTE->Equiv. humedad# %: - | - | - | - | - | 
HORIZONTE->Resist. pasta# ohms: 523 | 430 | 302 | 443 | 337 | 506
HORIZONTE->pH pasta (1:1)# ---: 6.7 | 7.3 | 7.4 | 7.5 | 7.3 | 7.4
HORIZONTE->pH agua (1:2,5)# ---: 6.9 | 7.6 | 7.6 | 7.5 | 7.4 | 7.6
HORIZONTE->pH 1N ClK (1:2,5)# ---: 6.3 | 6.5 | 6.5 | 6.5 | 6.3 | 6.6
HORIZONTE->Ca++ intercambio# me/100g: 8.94 | 10.26 | 12.77 | -.- | 23.83 | 18.72
HORIZONTE->Mg++ intercambio# me/100g: 2.61 | 2.44 | 2.26 | 0.81 | 1.77 | 0.94
HORIZONTE->Na+ intercambio# me/100g: 1.08 | 2.7 | 2.1 | 2.7 | 1.80 | 0.90
HORIZONTE->K+ intercambio# me/100g: 0.46 | 0.61 | 0.76 | 1.06 | 1.06 | 0.91
HORIZONTE->H+ intercambio# me/100g: - | - | - | - | - | 
HORIZONTE->(Na+/T)# %: 5.25 | 11.77 | 11.13 | 10.33 | 7.71 | 4.33
HORIZONTE->C.I.C., (T)# me/100g: 20.57 | 22.93 | 18.86 | 26.14 | 23.36 | 20.79
HORIZONTE->Suma bases (S)# me/100g: 15.32 | 17.5 | 19.38 | ---- | 29.95 | 22.58
HORIZONTE->Sat. bases, (S/T)# %: 74 | 76 | 102 | - | 128 | 108
