HORIZONTE->NOMBRE(S)........# : a | be | bt1 | bt2 | bt3 | bc
HORIZONTE->Profundidad muestra# cm: 0-21 | 21-31 | 31-60 | 60-90 | 90-120 | 120-150
HORIZONTE->Mat. orgánica# %: 2.38 | 1.78 | 1.03 | 0.47 | 0.33 | 0.24
HORIZONTE->C orgánico# %: 1.38 | 1.03 | 0.60 | 0.27 | 0.19 | 0.14
HORIZONTE->N total# %: 0.161 | 0.115 | 0.092 | 0.064 | 0.04 | 0.03
HORIZONTE->Relación C/N# ---: 9 | 9 | 7 | 4 | 5 | 4
HORIZONTE->Arcilla < 2µ# %: 25.5 | 27.0 | 35.5 | 29.0 | 21.5 | 16.5
HORIZONTE->Limo 2-50µ# %: 72.0 | 70.0 | 62.5 | 69.0 | 74.5 | 79.5
HORIZONTE->TOTAL# %: 99.9 | 99.9 | 99.4 | 99.6 | 99.3 | 99.8
HORIZONTE->Limo 2-20µ# %: 33 | 32 | 33 | 38 | 42 | 40.5
HORIZONTE->Muy fina 50-100µ# %: 1.0 | 1.4 | 0.7 | 0.9 | 1.5 | 1.4
HORIZONTE->Fina 100-250µ# %: 1.1 | 1.2 | 0.5 | 0.5 | 1.6 | 2.2
HORIZONTE->Media 250-500µ# %: 0.3 | 0.3 | 0.2 | 0.2 | 0.2 | 0.2
HORIZONTE->Gruesa 500-1000µ# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Muy gruesa 1-2mm# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Calcáreo, CaCO3# %: --- | --- | --- | --- | --- | ---
HORIZONTE->Equiv.humedad# %: --- | --- | --- | --- | --- | ---
HORIZONTE->Resist.pasta# ohms: 2497 | 2289 | 749 | 541 | 832 | 874
HORIZONTE->pH pasta (1:1)# ---: 5.6 | 6.0 | 6.5 | 6.9 | 6.8 | 7.0
HORIZONTE->pH agua (1:2,5)# ---: 5.7 | 6.2 | 6.9 | 7.1 | 7.3 | 7.4
HORIZONTE->pH 1N ClK (1:2,5)# ---: 5.1 | 5.2 | 5.6 | 5.6 | 5.4 | 5.5
HORIZONTE->Ca++ intercambio# me/100g: 10.1 | 12.5 | 18.2 | 16.1 | 13.0 | 12.1
HORIZONTE->Mg++ intercambio# me/100g: 0.5 | 0.5 | 0.3 | 1.5 | 1.5 | 1.2
HORIZONTE->Na+ intercambio# me/100g: 0.8 | 1.0 | 1.2 | 0.8 | 0.5 | 0.5
HORIZONTE->K+ intercambio# me/100g: 1.5 | 1.5 | 1.8 | 1.5 | 1.2 | 1.0
HORIZONTE->H+ intercambio# me/100g: 3.5 | 2.0 | 1.5 | --- | --- | ---
HORIZONTE->(Na+/T)# %: 4.7 | 5.5 | 5.1 | 4.0 | 3.1 | 3.3
HORIZONTE->C.I.C., (T)# me/100g: 17.0 | 18.2 | 23.7 | 20.2 | 16.0 | 15.1
HORIZONTE->Suma bases (S)# me/100g: 12.9 | 15.5 | 21.5 | 19.9 | 16.2 | 14.8
HORIZONTE->Sat.bases, (S/T)# %: 76 | 85 | 91 | 99 | 101 | 98
