HORIZONTE->NOMBRE(S)........# : a | ac | c
HORIZONTE->Profundidad# cm: 0 | 19 | 89
HORIZONTE->muestra# cm: 19 | 89 | 100
HORIZONTE->Mat. orgánica# %: 0.69 | 0.29 | 0.17
HORIZONTE->C orgánico# %: 0.40 | 0.17 | 0.10
HORIZONTE->N total# %: 0.042 | --- | ---
HORIZONTE->Relación C/N# ---: 10 | --- | ---
HORIZONTE->Arcilla < 2µ# %: 10.0 | 10.2 | 4.6
HORIZONTE->Limo 2-50µ# %: 7.5 | 9.4 | 5.2
HORIZONTE->TOTAL# %: 100.0 | 100.0 | 100.0
HORIZONTE->Limo 2-20µ# %: --- | --- | ---
HORIZONTE->Muy fina 50-100µ# %: 72.2 | 70.5 | 75.0
HORIZONTE->Fina 100-250µ# %: 10.3 | 9.9 | 15.2
HORIZONTE->Media 250-500µ# %: 0.0 | 0.0 | 0.0
HORIZONTE->Gruesa 500-1000µ# %: 0.0 | 0.0 | 0.0
HORIZONTE->Muy gruesa 1-2mm# %: 0.0 | 0.0 | 0.0
HORIZONTE->Calcáreo, CaCO3# %: 0.0 | 0.0 | vest.
HORIZONTE->Equiv.humedad# %: 7.9 | 8.9 | 5.6
HORIZONTE->Resist.pasta# ohms: --- | --- | ---
HORIZONTE->pH pasta (1:1)# ---: 6.3 | 6.6 | 7.5
HORIZONTE->pH agua (1:2,5)# ---: 6.8 | 7.4 | 7.7
HORIZONTE->pH 1N ClK (1:2,5)# ---: --- | --- | ---
HORIZONTE->Ca++ intercambio# me/100g: 6.3 | 6.7 | 5.2
HORIZONTE->Mg++ intercambio# me/100g: 2.8 | 3.1 | 4.1
HORIZONTE->Na+ intercambio# me/100g: 1.4 | 1.2 | 1.4
HORIZONTE->K+ intercambio# me/100g: 0.8 | 0.6 | 0.8
HORIZONTE->H+ intercambio# me/100g: 2.9 | 2.6 | 1.3
HORIZONTE->(Na+/T)# %: 11.6 | 9.9 | 12.0
HORIZONTE->C.I.C., (T)# me/100g: 12.1 | 12.1 | 11.7
HORIZONTE->Suma bases (S)# me/100g: 11.3 | 11.6 | 11.5
HORIZONTE->Sat.bases, (S/T)# %: 93 | 96 | 98
