HORIZONTE->NOMBRE(S)........# : a | ab | bt1 | bt2 | bc | c | ck
HORIZONTE->Profundidad muestra# cm: 0-23 | 23-33 | 33-65 | 65-91 | 91-127 | 127-146 | 146-180
HORIZONTE->Mat. orgánica# %: 2.86 | 1.57 | 0.72 | 0.53 | 0.29 | 0.28 | 0.22
HORIZONTE->C orgánico# %: 1.66 | 0.91 | 0.42 | 0.31 | 0.17 | 0.16 | 0.13
HORIZONTE->N total# %: 0.138 | 0.084 | 0.066 | 0.050 | 0.04 | 0.04 | 0.02
HORIZONTE->Relación C/N# ---: 12 | 11 | 6 | 6 | 4 | 5 | 5
HORIZONTE->Arcilla < 2µ# %: 31.0 | 39.5 | 40.6 | 34.5 | 29.5 | 29.9 | 19.5
HORIZONTE->Limo 2-50µ# %: 66.0 | 58.3 | 56.8 | 62.7 | 66.5 | 64.1 | 67.4
HORIZONTE->TOTAL# %: 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0
HORIZONTE->Limo 2-20µ# %: 41 | 36.3 | 36.1 | 40.9 | 42.4 | 40.3 | 42.4
HORIZONTE->Muy fina 50-100µ# %: 2.6 | 1.9 | 1.9 | 2.5 | 3.1 | 3.7 | 8.0
HORIZONTE->Fina 100-250µ# %: 0.4 | 0.3 | 0.7 | 0.3 | 0.9 | 2.3 | 5.1
HORIZONTE->Media 250-500µ# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Gruesa 500-1000µ# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Muy gruesa 1-2mm# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Calcáreo, CaCO3# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.6 | 3.6
HORIZONTE->Equiv.humedad# %: --- | --- | --- | --- | --- | --- | ---
HORIZONTE->Resist.pasta# ohms: 1200 | 1500 | 1650 | 1550 | 1382 | 887 | 712
HORIZONTE->pH pasta (1:1)# ---: 6.5 | 6.6 | 7.4 | 7.8 | 8.0 | 8.9 | 9.1
HORIZONTE->pH agua (1:2,5)# ---: 6.6 | 6.9 | 7.6 | 8.0 | 8.3 | 9.0 | 9.2
HORIZONTE->pH 1N ClK (1:2,5)# ---: 5.5 | 5.2 | 5.5 | 5.7 | 5.9 | 7.4 | 7.7
HORIZONTE->Ca++ intercambio# me/100g: 13.0 | 14.1 | 18.0 | 17.5 | 15.4 | 13.3 | 7.6
HORIZONTE->Mg++ intercambio# me/100g: 3.2 | 3.4 | 2.8 | 2.3 | 5.1 | 4.5 | 5.1
HORIZONTE->Na+ intercambio# me/100g: 0.5 | 1.1 | 1.3 | 2.0 | 2.7 | 4.8 | 5.9
HORIZONTE->K+ intercambio# me/100g: 2.3 | 1.9 | 2.4 | 2.4 | 2.5 | 2.5 | 2.5
HORIZONTE->H+ intercambio# me/100g: 2.6 | 2.6 | 1.8 | 1.7 | 1.8 | 0.0 | 0.0
HORIZONTE->(Na+/T)# %: 2.3 | 4.8 | 4.7 | 7.9 | 10.8 | 19.8 | 26.0
HORIZONTE->C.I.C., (T)# me/100g: 22.1 | 22.8 | 27.6 | 25.2 | 25.1 | 24.2 | 22.7
HORIZONTE->Suma bases (S)# me/100g: 19.0 | 20.5 | 24.5 | 24.2 | 25.7 | 25.1 | 21.1
HORIZONTE->Sat.bases, (S/T)# %: 86 | 90 | 89 | 96 | 102 | 104 | 93
