HORIZONTE->NOMBRE(S)........# : a | e | bt1 | bt2 | bt3 | bcm
HORIZONTE->Profundidad muestra# cm: 5-15 | 25-30 | 37-47 | 60-90 | 100-110 | 120-140
HORIZONTE->Mat. orgánica# %: 3.29 | 1.52 | 1.22 | 1.09 | 0.76 | 0.50
HORIZONTE->C orgánico# %: 1.91 | 0.88 | 0.71 | 0.63 | 0.44 | 0.29
HORIZONTE->N total# %: 0.187 | 0.092 | 0.086 | 0.085 | 0.06 | 0.05
HORIZONTE->Relación C/N# ---: 10 | 10 | 8 | 7 | 7 | 6
HORIZONTE->Arcilla < 2µ# %: 30.0 | 28.0 | 41.5 | 54.0 | 48.7 | 45.9
HORIZONTE->Limo 2-50µ# %: 69.1 | 71.1 | 57.8 | 45.3 | 50.2 | 52.3
HORIZONTE->TOTAL# %: 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 99.1
HORIZONTE->Limo 2-20µ# %: 40.9 | 36.2 | 20.9 | 33.7 | 34.8 | 37.4
HORIZONTE->Muy fina 50-100µ# %: 0.7 | 0.6 | 0.5 | 0.4 | 0.6 | 0.1
HORIZONTE->Fina 100-250µ# %: 0.1 | 0.2 | 0.1 | 0.2 | 0.3 | 0.5
HORIZONTE->Media 250-500µ# %: 0.1 | 0.1 | 0.1 | 0.1 | 0.2 | 0.3
HORIZONTE->Gruesa 500-1000µ# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Muy gruesa 1-2mm# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Calcáreo, CaCO3# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Equiv.humedad# %: 32.5 | 29.4 | 32.7 | 46.0 | 41.0 | 37.8
HORIZONTE->Resist.pasta# ohms: 4146 | 3823 | 2341 | 1529 | 1482 | 1396
HORIZONTE->pH pasta (1:1)# ---: 5.8 | 5.8 | 6.0 | 6.6 | 6.9 | 6.8
HORIZONTE->pH agua (1:2,5)# ---: 6.2 | 6.3 | 6.7 | 7.1 | 7.4 | 7.3
HORIZONTE->pH 1N ClK (1:2,5)# ---: --- | --- | --- | --- | --- | ---
HORIZONTE->Ca++ intercambio# me/100g: 10.9 | 8.6 | 13.1 | 20.9 | 18.9 | 17.4
HORIZONTE->Mg++ intercambio# me/100g: 2.2 | 3.4 | 5.9 | 6.8 | 7.0 | 6.5
HORIZONTE->Na+ intercambio# me/100g: 0.3 | 0.3 | 0.5 | 0.8 | 0.8 | 0.9
HORIZONTE->K+ intercambio# me/100g: 1.9 | 1.7 | 1.7 | 2.9 | 2.7 | 2.6
HORIZONTE->H+ intercambio# me/100g: 6.4 | 4.3 | 4.4 | 4.0 | 3.5 | 3.4
HORIZONTE->(Na+/T)# %: 1.4 | 1.7 | 2.0 | 2.3 | 2.5 | 3.1
HORIZONTE->C.I.C., (T)# me/100g: 21.9 | 18.0 | 25.5 | 34.1 | 32.1 | 29.0
HORIZONTE->Suma bases (S)# me/100g: 15.3 | 14.0 | 21.2 | 31.4 | 29.4 | 27.4
HORIZONTE->Sat.bases, (S/T)# %: 70 | 78 | 83 | 92 | 92 | 94
