HORIZONTE->NOMBRE(S)........# : a | e | bt1 | bt2 | bt3 | bc | c
HORIZONTE->Profundidad muestra# cm: 0-17 | 17-24 | 24-47 | 47-66 | 66-93 | 93-136 | + 136
HORIZONTE->Mat. orgánica# %: 2.17 | 1.67 | 1.48 | 0.55 | 0.29 | 0.03 | 0.03
HORIZONTE->C orgánico# %: 1.26 | 0.97 | 0.86 | 0.32 | 0.17 | 0.02 | 0.02
HORIZONTE->N total# %: 0.129 | 0.101 | 0.107 | 0.065 | 0.05 | 0.03 | 0.014
HORIZONTE->Relación C/N# ---: 10 | 10 | 8 | 5 | 4 | 1 | 1
HORIZONTE->Arcilla < 2µ# %: 22.5 | 22.0 | 48.5 | 46.0 | 35.0 | 35.0 | 27.5
HORIZONTE->Limo 2-50µ# %: 74.0 | 74.5 | 49.5 | 52.0 | 62.0 | 62.0 | 68.0
HORIZONTE->TOTAL# %: 99.7 | 99.9 | 99.6 | 99.5 | 101.1 | 101.3 | 101.9
HORIZONTE->Limo 2-20µ# %: 31.5 | 30.5 | 24.0 | 24.0 | 27.5 | 26.0 | 30.5
HORIZONTE->Muy fina 50-100µ# %: 2.7 | 2.6 | 1.1 | 1.3 | 2.1 | 2.0 | 3.7
HORIZONTE->Fina 100-250µ# %: 0.5 | 0.8 | 0.5 | 0.2 | 2.0 | 2.3 | 2.7
HORIZONTE->Media 250-500µ# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Gruesa 500-1000µ# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Muy gruesa 1-2mm# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Calcáreo, CaCO3# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.7
HORIZONTE->Equiv.humedad# %: 27.5 | 25.2 | 64.9 | 56.1 | 38.4 | 35.3 | 31.3
HORIZONTE->Resist.pasta# ohms: 2587 | 1821 | 934 | 266 | 379 | 748 | 869
HORIZONTE->pH pasta (1:1)# ---: 6.1 | 6.7 | 7.3 | 7.6 | 7.9 | 8.1 | 7.5
HORIZONTE->pH agua (1:2,5)# ---: 6.2 | 7.1 | 7.6 | 8.1 | 8.4 | 8.4 | 8.1
HORIZONTE->pH 1N ClK (1:2,5)# ---: 4.4 | 4.9 | 5.7 | 6.1 | 6.4 | 6.2 | 5.9
HORIZONTE->Ca++ intercambio# me/100g: 9.0 | 8.0 | 8.0 | 10.6 | 10.0 | 4.6 | 5.0
HORIZONTE->Mg++ intercambio# me/100g: 0.6 | 1.2 | 8.0 | 4.8 | 4.0 | 8.6 | 5.4
HORIZONTE->Na+ intercambio# me/100g: 2.1 | 2.8 | 11.7 | 9.6 | 9.3 | 8.7 | 4.9
HORIZONTE->K+ intercambio# me/100g: 1.3 | 0.9 | 1.8 | 1.8 | 1.8 | 1.8 | 1.7
HORIZONTE->H+ intercambio# me/100g: 1.9 | --- | --- | --- | --- | --- | ---
HORIZONTE->(Na+/T)# %: 13.1 | 18.9 | 39.0 | 35.0 | 36.6 | 36.9 | 23.8
HORIZONTE->C.I.C., (T)# me/100g: 16.0 | 14.8 | 30.0 | 27.4 | 25.4 | 23.6 | 20.6
HORIZONTE->Suma bases (S)# me/100g: 13.0 | 12.9 | 29.5 | 26.8 | 25.1 | 23.7 | 17.0
HORIZONTE->Sat.bases, (S/T)# %: 81 | 87 | 98 | 98 | 99 | 100 | 83
HORIZONTE->Comp. Extr. Sat.# :  | - | - | - | - | - | 
HORIZONTE->Ca++# me/l: - | - | - | 4.0 | - | - | 
HORIZONTE->Mg++# me/l: - | - | - | 1.2 | - | - | 
HORIZONTE->Na+# me/l: - | - | - | 50.0 | - | - | 
HORIZONTE->K+# me/l: - | - | - | --- | - | - | 
HORIZONTE->CO3-# me/l: - | - | - | --- | - | - | 
HORIZONTE->SO4=# me/l: - | - | - | 35.8 | - | - | 
HORIZONTE->Cl-# me/l: - | - | - | 12.0 | - | - | 
HORIZONTE->RAS# ---: - | - | - | 31 | - | - | 
