HORIZONTE->NOMBRE(S)........# : ap | b | bc | c
HORIZONTE->Profundidad# cm: 5 | 25 | 60 | 80
HORIZONTE->muestra# cm: 15 | 30 | 70 | 90
HORIZONTE->Mat. orgánica# %: 2.22 | 1.33 | 0.67 | ---
HORIZONTE->C orgánico# %: 1.29 | 0.77 | 0.39 | ---
HORIZONTE->N total# %: 0.130 | 0.084 | 0.061 | ---
HORIZONTE->Relación C/N# ---: 10 | 9 | 6 | ---
HORIZONTE->Arcilla < 2µ# %: 17.8 | 24.4 | 18.6 | 12.9
HORIZONTE->Limo 2-50µ# %: 35.9 | 29.6 | 31.3 | 31.8
HORIZONTE->TOTAL# %: 100.0 | 100.0 | 100.0 | 100.0
HORIZONTE->Limo 2-20µ# %: 16.3 | 11.3 | 13.4 | 13.1
HORIZONTE->Muy fina 50-100µ# %: 44.6 | 44.8 | 48.0 | 52.7
HORIZONTE->Fina 100-250µ# %: 1.7 | 1.2 | 2.1 | 2.6
HORIZONTE->Media 250-500µ# %: 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Gruesa 500-1000µ# %: 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Muy gruesa 1-2mm# %: 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Calcáreo, CaCO3# %: 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Equiv.humedad# %: 17.6 | 18.9 | 15.6 | 11.7
HORIZONTE->Resist.pasta# ohms: --- | --- | --- | ---
HORIZONTE->pH pasta (1:1)# ---: 5.9 | 6.1 | 6.6 | 7.0
HORIZONTE->pH agua (1:2,5)# ---: 6.7 | 7.0 | 7.3 | 7.5
HORIZONTE->pH 1N ClK (1:2,5)# ---: --- | --- | --- | ---
HORIZONTE->Ca++ intercambio# me/100g: 9.5 | 10.2 | 10.0 | 8.2
HORIZONTE->Mg++ intercambio# me/100g: 2.1 | 1.2 | 1.1 | 2.9
HORIZONTE->Na+ intercambio# me/100g: 0.3 | 0.3 | 0.4 | 0.4
HORIZONTE->K+ intercambio# me/100g: 2.2 | 2.0 | 1.1 | 1.5
HORIZONTE->H+ intercambio# me/100g: 4.0 | 2.3 | 2.5 | 1.4
HORIZONTE->(Na+/T)# %: 2.1 | 2.0 | 3.1 | 3.5
HORIZONTE->C.I.C., (T)# me/100g: 14.1 | 15.2 | 13.0 | 11.4
HORIZONTE->Suma bases (S)# me/100g: 14.1 | 13.7 | 12.6 | 13.0
HORIZONTE->Sat.bases, (S/T)# %: 100 | 90 | 97 | 114
