HORIZONTE->NOMBRE(S)........# : ap | ba | bt1 | bt2 | bt3 | bc | c | ck
HORIZONTE->Profundidad# cm: 0 | 18 | 27 | 48 | 76 | 104 | 128 | 180
HORIZONTE->muestra# cm: 18 | 27 | 48 | 76 | 104 | 128 | 180 | 210
HORIZONTE->Mat. orgánica# %: 2.55 | 2.29 | 1.22 | 1.00 | 0.50 | 0.28 | 0.16 | 0.10
HORIZONTE->C orgánico# %: 1.48 | 1.33 | 0.71 | 0.58 | 0.29 | 0.16 | 0.09 | 0.06
HORIZONTE->N total# %: --- | --- | --- | --- | --- | --- | --- | ---
HORIZONTE->Relación C/N# ---: --- | --- | --- | --- | --- | --- | --- | ---
HORIZONTE->Arcilla < 2µ# %: 19.9 | 28.6 | 33.1 | 46.9 | 38.1 | 29.2 | 20.1 | 21.5
HORIZONTE->Limo 2-50µ# %: 69.9 | 64.4 | 61.7 | 49.6 | 55.8 | 62.8 | 67.8 | 68.2
HORIZONTE->TOTAL# %: 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 99.5 | 97.9
HORIZONTE->Limo 2-20µ# %: --- | --- | --- | --- | --- | --- | --- | ---
HORIZONTE->Muy fina 50-100µ# %: 8.2 | 5.5 | 4.2 | 2.5 | 4.6 | 6.9 | 9.8 | 6.9
HORIZONTE->Fina 100-250µ# %: 2.0 | 1.5 | 1.0 | 1.0 | 1.5 | 1.1 | 1.8 | 1.3
HORIZONTE->Media 250-500µ# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Gruesa 500-1000µ# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Muy gruesa 1-2mm# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Calcáreo, CaCO3# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.5 | 2.1
HORIZONTE->Equiv.humedad# %: 25.7 | 27.5 | 29.5 | 35.6 | 35.0 | 29.8 | 26.5 | 29.3
HORIZONTE->Resist.pasta# ohms: --- | --- | --- | --- | --- | --- | --- | ---
HORIZONTE->pH pasta (1:1)# ---: 5.8 | 5.7 | 5.8 | 6.0 | 6.2 | 6.3 | 6.7 | 7.7
HORIZONTE->pH agua (1:2,5)# ---: 6.2 | 6.4 | 6.6 | 7.0 | 7.1 | 6.8 | 7.5 | 8.2
HORIZONTE->pH 1N ClK (1:2,5)# ---: --- | --- | --- | --- | --- | --- | --- | ---
HORIZONTE->Ca++ intercambio# me/100g: 9.3 | 11.8 | 12.4 | 15.9 | 16.5 | 15.2 | --- | ---
HORIZONTE->Mg++ intercambio# me/100g: 2.2 | 3.4 | 4.5 | 7.9 | 8.3 | 5.6 | --- | ---
HORIZONTE->Na+ intercambio# me/100g: 0.2 | 0.3 | 0.3 | 0.4 | 0.4 | 0.4 | 0.5 | 0.8
HORIZONTE->K+ intercambio# me/100g: 1.3 | 0.6 | 0.9 | 1.9 | 2.3 | 2.3 | 2.4 | 2.5
HORIZONTE->H+ intercambio# me/100g: 6.4 | 6.0 | 5.2 | 5.5 | 5.5 | 4.0 | --- | ---
HORIZONTE->(Na+/T)# %: 1.2 | 1.6 | 1.4 | 1.3 | 1.3 | 1.6 | 2.7 | 3.9
HORIZONTE->C.I.C., (T)# me/100g: 16.7 | 19.3 | 21.4 | 30.6 | 29.8 | 24.7 | 18.8 | 20.6
HORIZONTE->Suma bases (S)# me/100g: 13.0 | 16.1 | 18.1 | 26.1 | 27.5 | 23.5 | --- | ---
HORIZONTE->Sat.bases, (S/T)# %: 78 | 83 | 85 | 85 | 92 | 95 | --- | ---
