HORIZONTE->NOMBRE(S)........# : a | e | bt1 | bt2 | bc | c | ck
HORIZONTE->Profundidad muestra# cm: 0-18 | 18-27 | 27-59 | 59-92 | 92-122 | 122-183 | 183-205
HORIZONTE->Mat. orgánica# %: 3.15 | 1.93 | 0.95 | 0.38 | 0.10 | 0.14 | 0.14
HORIZONTE->C orgánico# %: 1.83 | 1.12 | 0.55 | 0.22 | 0.06 | 0.08 | 0.08
HORIZONTE->N total# %: 0.134 | 0.079 | 0.056 | 0.035 | 0.03 | 0.02 | 0.02
HORIZONTE->Relación C/N# ---: 14 | 14 | 10 | 6 | 2 | 3 | 4
HORIZONTE->Arcilla < 2µ# %: 28.3 | 27.3 | 40.2 | 30.7 | 19.0 | 27.0 | 16.4
HORIZONTE->Limo 2-50µ# %: 68.8 | 70.1 | 58.2 | 66.1 | 65.3 | 63.2 | 61.6
HORIZONTE->TOTAL# %: 100.0 | 100.0 | 100.0 | 100.5 | 100.1 | 100.0 | 100.0
HORIZONTE->Limo 2-20µ# %: 45.9 | 43.3 | 37.2 | 50.5 | 41.7 | 41 | 37.6
HORIZONTE->Muy fina 50-100µ# %: 2.2 | 2.0 | 1.2 | 2.5 | 8.3 | 5.2 | 9.1
HORIZONTE->Fina 100-250µ# %: 0.6 | 0.5 | 0.4 | 1.2 | 7.2 | 4.5 | 8.3
HORIZONTE->Media 250-500µ# %: 0.1 | 0.1 | 0.0 | 0.0 | 0.3 | 0.1 | 4.6
HORIZONTE->Gruesa 500-1000µ# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Muy gruesa 1-2mm# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Calcáreo, CaCO3# %: 0.0 | 0.0 | 0.0 | 0.2 | 0.0 | 0.3 | 6.4
HORIZONTE->Equiv.humedad# %: --- | --- | --- | --- | --- | --- | ---
HORIZONTE->Resist.pasta# ohms: 2050 | 1950 | 1432 | 1350 | 820 | 785 | 655
HORIZONTE->pH pasta (1:1)# ---: 6.0 | 6.1 | 6.9 | 7.4 | 7.2 | 8.1 | 8.4
HORIZONTE->pH agua (1:2,5)# ---: 6.2 | 6.2 | 7.0 | 7.8 | 7.7 | 8.2 | 8.7
HORIZONTE->pH 1N ClK (1:2,5)# ---: 4.9 | 5.0 | 5.8 | 6.1 | 5.8 | 7.0 | 7.2
HORIZONTE->Ca++ intercambio# me/100g: 10.4 | 9.2 | 22.7 | 21.2 | 16.7 | 19.0 | 19.0
HORIZONTE->Mg++ intercambio# me/100g: 0.4 | 0.4 | 1.3 | 2.3 | 1.6 | 2.9 | 4.0
HORIZONTE->Na+ intercambio# me/100g: 0.6 | 0.7 | 1.5 | 2.2 | 2.0 | 1.9 | 3.0
HORIZONTE->K+ intercambio# me/100g: 1.3 | 1.1 | 2.5 | 2.6 | 2.3 | 2.1 | 2.1
HORIZONTE->H+ intercambio# me/100g: 5.5 | 2.8 | 1.4 | 1.4 | 1.4 | 0.0 | 0.0
HORIZONTE->(Na+/T)# %: 3.4 | 4.9 | 5.2 | 8.0 | 8.6 | 7.1 | 10.4
HORIZONTE->C.I.C., (T)# me/100g: 17.8 | 14.3 | 29.0 | 27.6 | 23.3 | 26.8 | 28.8
HORIZONTE->Suma bases (S)# me/100g: 12.7 | 11.4 | 28.0 | 28.3 | 22.6 | 25.9 | 28.1
HORIZONTE->Sat.bases, (S/T)# %: 71 | 80 | 97 | 103 | 97 | 97 | 98
