HORIZONTE->NOMBRE(S)........# : a | ba | bt1 | bt2 | bt3 | bc | c
HORIZONTE->Profundidad# cm: 0 | 20 | 32 | 50 | 74 | 108 | 152
HORIZONTE->muestra# cm: 20 | 32 | 50 | 74 | 108 | 152 | ---
HORIZONTE->Mat. orgánica# %: 2.07 | 1.38 | 0.86 | 0.69 | 0.52 | 0.17 | 0.17
HORIZONTE->C orgánico# %: 1.20 | 0.80 | 0.50 | 0.40 | 0.30 | 0.10 | 0.10
HORIZONTE->N total# %: 0.10 | 0.07 | 0.07 | 0.05 | 0.04 | 0.03 | 0.02
HORIZONTE->Relación C/N# ---: 12 | 11 | 8 | 7 | 8 | 4 | 6
HORIZONTE->Arcilla < 2µ# %: 25.0 | 34.3 | 62.8 | 57.4 | 46.9 | 31.8 | 27.5
HORIZONTE->Limo 2-50µ# %: 69.8 | 61.1 | 35.3 | 40.5 | 49.5 | 62.6 | 64.6
HORIZONTE->TOTAL# %: 100.0 | 100.0 | 99.0 | 100.0 | 100.0 | 100.0 | 100.0
HORIZONTE->Limo 2-20µ# %: 38 | 34.9 | 21.3 | 24.7 | 31 | 40.1 | 41.3
HORIZONTE->Muy fina 50-100µ# %: 4.1 | 3.6 | 0.4 | 1.6 | 2.8 | 4.4 | 5.8
HORIZONTE->Fina 100-250µ# %: 1.0 | 0.9 | 0.1 | 0.4 | 0.7 | 1.1 | 2.0
HORIZONTE->Media 250-500µ# %: 0.1 | 0.1 | 0.4 | 0.1 | 0.1 | 0.1 | 0.1
HORIZONTE->Gruesa 500-1000µ# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Muy gruesa 1-2mm# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Calcáreo, CaCO3# %: --- | --- | --- | --- | --- | --- | ---
HORIZONTE->Equiv.humedad# %: --- | --- | --- | --- | --- | --- | ---
HORIZONTE->Resist.pasta# ohms: >1000 | >1000 | >1000 | >1000 | >1000 | >1000 | >1000
HORIZONTE->pH pasta (1:1)# ---: 5.8 | 6.0 | 6.4 | 6.5 | 6.7 | 6.9 | 6.9
HORIZONTE->pH agua (1:2,5)# ---: 6.0 | 6.1 | 6.5 | 6.7 | 6.9 | 6.9 | 6.9
HORIZONTE->pH 1N ClK (1:2,5)# ---: 5.0 | 5.0 | 5.0 | 5.2 | 5.2 | 5.0 | 5.0
HORIZONTE->Ca++ intercambio# me/100g: 7.5 | 9.8 | 19.9 | 19.9 | 19.7 | 17.2 | 17.2
HORIZONTE->Mg++ intercambio# me/100g: 2.8 | 3.3 | 6.6 | 6.3 | 4.7 | 4.6 | 1.9
HORIZONTE->Na+ intercambio# me/100g: 0.4 | 0.4 | 0.6 | 0.6 | 0.6 | 0.6 | 0.6
HORIZONTE->K+ intercambio# me/100g: 0.6 | 0.6 | 1.7 | 1.8 | 1.9 | 2.0 | 2.0
HORIZONTE->H+ intercambio# me/100g: 3.4 | 2.5 | 1.7 | 2.7 | 2.7 | 2.6 | 2.6
HORIZONTE->(Na+/T)# %: 2.9 | 2.6 | 1.9 | 2.0 | 2.1 | 2.3 | 2.3
HORIZONTE->C.I.C., (T)# me/100g: 14.0 | 15.2 | 31.7 | 30.5 | 28.7 | 26.2 | 26.2
HORIZONTE->Suma bases (S)# me/100g: 11.3 | 14.1 | 28.8 | 28.6 | 26.9 | 24.4 | 21.7
HORIZONTE->Sat.bases, (S/T)# %: 81 | 93 | 91 | 94 | 94 | 93 | 83
