HORIZONTE->NOMBRE(S)........# : a | bt1 | bt2 | bc | ck
HORIZONTE->Profundidad muestra# cm: 0-16 | 16-45 | 45-75 | 75-125 | 175-200
HORIZONTE->Mat. orgánica# %: 1.90 | 1.21 | 0.52 | 0.34 | 0.17
HORIZONTE->C orgánico# %: 1.10 | 0.70 | 0.30 | 0.20 | 0.10
HORIZONTE->N total# %: 0.153 | 0.136 | 0.114 | 0.083 | 0.070
HORIZONTE->Relación C/N# ---: 7 | 5 | 3 | 2 | 1
HORIZONTE->Arcilla < 2µ# %: 22.5 | 39.5 | 34.0 | 30.0 | 22.0
HORIZONTE->Limo 2-50µ# %: 74.5 | 58.0 | 62.5 | 65.0 | 71.5
HORIZONTE->TOTAL# %: 99.7 | 99.7 | 99.6 | 99.4 | 99.4
HORIZONTE->Limo 2-20µ# %: 32.0 | 26.0 | 28.0 | 28.0 | 30.0
HORIZONTE->Muy fina 50-100µ# %: 1.6 | 1.1 | 2.1 | 1.7 | 1.7
HORIZONTE->Fina 100-250µ# %: 0.8 | 0.9 | 0.8 | 2.4 | 3.8
HORIZONTE->Media 250-500µ# %: 0.3 | 0.2 | 0.2 | 0.3 | 0.4
HORIZONTE->Gruesa 500-1000µ# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Muy gruesa 1-2mm# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Calcáreo, CaCO3# %: --- | --- | --- | --- | ---
HORIZONTE->Equiv.humedad# %: --- | --- | --- | --- | ---
HORIZONTE->Resist.pasta# ohms: 2693 | 350 | 312 | 727 | 727
HORIZONTE->pH pasta (1:1)# ---: 5.1 | 7.4 | 7.6 | 7.6 | 8.0
HORIZONTE->pH agua (1:2,5)# ---: 5.6 | 7.9 | 8.3 | 8.2 | 8.9
HORIZONTE->pH 1N ClK (1:2,5)# ---: 4.6 | 6.4 | 6.9 | 6.4 | 6.7
HORIZONTE->Ca++ intercambio# me/100g: 8.0 | 14.4 | 15.1 | 9.7 | 17.1
HORIZONTE->Mg++ intercambio# me/100g: 2.2 | 2.8 | 2.7 | 5.3 | 2.9
HORIZONTE->Na+ intercambio# me/100g: 1.5 | 4.2 | 6.2 | 6.0 | 5.8
HORIZONTE->K+ intercambio# me/100g: 2.6 | 3.7 | 4.1 | 3.8 | 3.1
HORIZONTE->H+ intercambio# me/100g: --- | --- | --- | --- | ---
HORIZONTE->(Na+/T)# %: 9.4 | 16.2 | 23.0 | 25.0 | 19.3
HORIZONTE->C.I.C., (T)# me/100g: 16.0 | 26.0 | 27.0 | 24.0 | 30.0
HORIZONTE->Suma bases (S)# me/100g: 14.3 | 25.1 | 28.1 | 24.8 | 28.9
HORIZONTE->Sat.bases, (S/T)# %: 89 | 97 | 104 | 103 | 96
