HORIZONTE->NOMBRE(S)........# : a | e | bt1 | bt2 | bt3 | bc
HORIZONTE->Profundidad muestra# cm: 0-24 | 24-37 | 37-66 | 66-92 | 92-132 | 132- +
HORIZONTE->Mat. orgánica# %: 2.07 | 0.86 | 0.86 | 0.17 | 0.17 | 0.17
HORIZONTE->C orgánico# %: 1.20 | 0.50 | 0.50 | 0.10 | 0.10 | 0.10
HORIZONTE->N total# %: 0.090 | 0.048 | 0.053 | 0.030 | 0.04 | 0.02
HORIZONTE->Relación C/N# ---: 13 | 10 | 9 | 3 | 2 | 5
HORIZONTE->Arcilla < 2µ# %: 27.8 | 26.9 | 48.4 | 40.4 | 27.6 | 23.5
HORIZONTE->Limo 2-50µ# %: 66.3 | 67.3 | 48.3 | 56.3 | 67.1 | 70.2
HORIZONTE->TOTAL# %: 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0
HORIZONTE->Limo 2-20µ# %: 37.3 | 40.3 | 30.1 | 39.9 | 46.4 | 46.8
HORIZONTE->Muy fina 50-100µ# %: 0.8 | 3.5 | 2.0 | 2.0 | 3.5 | 3.9
HORIZONTE->Fina 100-250µ# %: 4.3 | 1.9 | 1.1 | 1.1 | 1.5 | 2.1
HORIZONTE->Media 250-500µ# %: 0.8 | 0.4 | 0.2 | 0.2 | 0.3 | 0.3
HORIZONTE->Gruesa 500-1000µ# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Muy gruesa 1-2mm# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Calcáreo, CaCO3# %: --- | --- | --- | --- | --- | ---
HORIZONTE->Equiv.humedad# %: --- | --- | --- | --- | --- | ---
HORIZONTE->Resist.pasta# ohms: --- | --- | --- | --- | --- | ---
HORIZONTE->pH pasta (1:1)# ---: 6.5 | 6.9 | 7.5 | 7.9 | 8.0 | 8.1
HORIZONTE->pH agua (1:2,5)# ---: 6.7 | 7.0 | 7.6 | 8.0 | 8.1 | 8.2
HORIZONTE->pH 1N ClK (1:2,5)# ---: 5.3 | 5.4 | 5.6 | 5.9 | 6.3 | 6.2
HORIZONTE->Ca++ intercambio# me/100g: 9.1 | 7.0 | 14.8 | 17.9 | 22.5 | 16.9
HORIZONTE->Mg++ intercambio# me/100g: 1.4 | 1.0 | 2.5 | 4.3 | 3.7 | 3.6
HORIZONTE->Na+ intercambio# me/100g: 0.4 | 0.4 | 0.8 | 1.1 | 1.0 | 1.1
HORIZONTE->K+ intercambio# me/100g: 0.8 | 0.7 | 1.4 | 2.0 | 2.4 | 2.2
HORIZONTE->H+ intercambio# me/100g: 2.3 | 1.5 | 2.3 | 0.0 | 0.0 | 0.0
HORIZONTE->(Na+/T)# %: 3.0 | 3.7 | 3.9 | 4.4 | 3.6 | 4.8
HORIZONTE->C.I.C., (T)# me/100g: 13.2 | 10.7 | 20.5 | 25.2 | 27.4 | 22.7
HORIZONTE->Suma bases (S)# me/100g: 11.7 | 9.1 | 19.5 | 25.3 | 29.6 | 23.8
HORIZONTE->Sat.bases, (S/T)# %: 89 | 85 | 95 | 100 | 108 | 105
