a     |  bt     |  bc     |  c
0-23  |  23-56  |  56-75  |  75a+
2,6   |  1,2    |  -      |
1,5   |  0,7    |  -      |
0,12  |  0,06   |  -      |
12,5  |  11,7   |  -      |
24,8  |  33,1   |  30,5   |  28,5
50,9  |  46,4   |  49,9   |  52,9
4,9   |  4,7    |  4,5    |  4,6
4,1   |  3,6    |  6,5    |  6,4
5,3   |  4,2    |  4,7    |  6,7
6,0   |  4,6    |  3,9    |  3,4
1,4   |  1,1    |  0,9    |  0,9
0,0   |  0,0    |  0,0    |  0,0
25,7  |  26,8   |  25,9   |  25,6
-     |  -      |  -      |
7,2   |  7,2    |  7,3    |  7,6
16,8  |  17,4   |  17,3   |  16,6
0,4   |  2,2    |  1,3    |  1,8
0,4   |  0,4    |  0,3    |  0,3
1,9   |  1,4    |  1,1    |  1,0
1,3   |  1,1    |  -      |
19,5  |  21,4   |  20,0   |  19,7
20,8  |  22,5   |  20,0   |  19,7
93,8  |  95,1   |  100    |  100
