a     |  bw     |  c      |  ck
0-19  |  19-43  |  43-60  |  60a+
2,2   |  0,5    |  -      |
1,3   |  0,3    |  -      |
0,10  |  0,02   |  -      |
13,0  |  15,0   |  -      |
24,6  |  25,8   |  22,8   |  20
54,7  |  57,5   |  61,0   |  61,2
5,5   |  5,1    |  4,7    |  4,6
3,7   |  3,2    |  3,1    |  3,2
4,2   |  3,2    |  2,7    |  2,8
5,2   |  3,3    |  2,7    |  2,6
1,3   |  1,6    |  1,4    |  0,9
0,0   |  0,0    |  0,0    |  6,2
24,2  |  23,7   |  22,3   |  22,0
-     |  -      |  -      |
7,3   |  7,5    |  7,7    |  8
13,7  |  14,1   |  13,0   |  13
0,9   |  1,5    |  1,9    |  1,8
0,3   |  0,2    |  0,4    |  0,3
1,7   |  1,1    |  1,4    |  1,4
1,6   |  -      |  -      |
16,6  |  19,6   |  16,7   |  16,5
18,2  |  16,9   |  16,7   |  16,5
91,2  |  100    |  100    |  100
