dss_JESUSMARIA.psv ->> ID..........................: 310
dss_JESUSMARIA.psv ->> CLASIFICACION...............: Argiustol údico
dss_JESUSMARIA.psv ->> SERIE.......................: JESÚS MARIA (JeMa)
dss_JESUSMARIA.psv ->> UBICACION...................: 11 km al NO de la ciudad de Jesús María, departamento Colón
dss_JESUSMARIA.psv ->> PROVINCIA...................: CORDOBA
dss_JESUSMARIA.psv ->> LATITUD.....................: S305200
dss_JESUSMARIA.psv ->> LONGITUD....................: O641500
dss_JESUSMARIA.psv ->> ALTITUD.....................: 630
dss_JESUSMARIA.psv ->> PENDIENTE...................: FALTA!
dss_JESUSMARIA.psv ->> DRENAJE.....................: FALTA!
dss_JESUSMARIA.psv ->> ESCURRIMIENTO...............: FALTA!
dss_JESUSMARIA.psv ->> PERMEABILIDAD...............: FALTA!
dss_JESUSMARIA.psv ->> TIPO DE SUELO...............: FRANCA FINA MIXTA TÉRMICA
dss_JESUSMARIA.psv ->> COLOR ......................: PARDO GRISÁCEO MUY OSCURO
dss_JESUSMARIA.psv ->> HORIZONTE->NOMBRE(S)........: ap | bt | bc | ck
dss_JESUSMARIA.psv ->> HORIZONTE->PROFUNDIDADES(CM): 0-23 | 23-55 | 55-94 | 94a+
dss_JESUSMARIA.psv ->> HORIZONTE->MATERIA ORGÁN.(%): 3,6 | 1,26 | 0,72 | 
dss_JESUSMARIA.psv ->> HORIZONTE->CARBONO ORGÁN.(%): 2,0 | 0,7 | 0,4 | 
dss_JESUSMARIA.psv ->> HORIZONTE->NITRÓGENO TOT.(%): 0,16 | - | - | 
dss_JESUSMARIA.psv ->> HORIZONTE->RELACIÓN C/N.....: 12 | - | - | 
dss_JESUSMARIA.psv ->> HORIZONTE->ARCILLA 2 (%)....: 23,1 | 28,1 | 25,68 | 20,33
dss_JESUSMARIA.psv ->> HORIZONTE->LIMO 2-50 (%)....: 71,7 | 69,2 | 69,59 | 75,35
dss_JESUSMARIA.psv ->> HORIZONTE->AMF 50-100 (%)...: 2,85 | 2,95 | 2,70 | 3,70
dss_JESUSMARIA.psv ->> HORIZONTE->AF 100-250 (%)...: 1,60 | 1,50 | 1,70 | 2,45
dss_JESUSMARIA.psv ->> HORIZONTE->AM 250-500 (%)...: 0,30 | 0,30 | 0,40 | 0,75
dss_JESUSMARIA.psv ->> HORIZONTE->AG 500-1000 (%)..: 0,50 | 0,30 | 0,40 | 0,75
dss_JESUSMARIA.psv ->> HORIZONTE->AMG 1-2 mm (%)...: 0,10 | 0,10 | 0,20 | 0,20
dss_JESUSMARIA.psv ->> HORIZONTE->CALCAREO CaCO3(%): 0,0 | 0,0 | 0,0 | 4,4
dss_JESUSMARIA.psv ->> HORIZONTE->PH PASTA.........: - | - | - | 
dss_JESUSMARIA.psv ->> HORIZONTE->PH H2O 1:2,5.....: 6,6 | 6,9 | 7,3 | 8,2
dss_JESUSMARIA.psv ->> HORIZONTE->CI ME/100G-Ca++..: 14,0 | 17,2 | 15,5 | 
dss_JESUSMARIA.psv ->> HORIZONTE->CI ME/100G-Mg++..: 1,1 | 0,9 | 1,1 | 
dss_JESUSMARIA.psv ->> HORIZONTE->CI ME/100G-Na+...: 0,4 | 0,3 | 0,3 | 0,3
dss_JESUSMARIA.psv ->> HORIZONTE->CI ME/100G-K+....: 1,9 | 1,3 | 0,9 | 1,1
dss_JESUSMARIA.psv ->> HORIZONTE->CI ME/100G-H+....: 1,0 | 0,9 | 0,3 | 
dss_JESUSMARIA.psv ->> HORIZONTE->SUM.B. ME/100G(S): - | - | - | 
dss_JESUSMARIA.psv ->> HORIZONTE->CIC ME/100G(T)...: 18,4 | 20,6 | 18,1 | 18,1
dss_JESUSMARIA.psv ->> HORIZONTE->SAT.B % (S/T)....: 94 | 96 | 98 | 100
