a     |  bt     |  bc     |  c      |  ck
0-22  |  22-40  |  40-59  |  59-78  |  78a+
3,1   |  1,0    |  -      |  -      |
1,8   |  0,6    |  -      |  -      |
0,20  |  0,10   |  -      |  -      |
9,0   |  6,0    |  -      |  -      |
24,0  |  31,1   |  26,0   |  21,0   |  18,0
63,4  |  58,7   |  62,0   |  68,0   |  33,0
5,0   |  4,9    |  5,2    |  6,1    |  6
1,2   |  1,2    |  1,2    |  1,3    |  1,4
1,4   |  1,0    |  1,1    |  1,1    |  1,0
2,6   |  1,8    |  1,7    |  1,8    |  1,9
0,9   |  1,2    |  1,3    |  1,4    |  1,5
0,0   |  0,0    |  0,0    |  0,0    |  5,6
25,8  |  27,4   |  24,6   |  23,2   |  23,0
-     |  -      |  -      |  -      |
6,4   |  6,9    |  7,1    |  7,1    |  7,8
14,6  |  18,2   |  17,8   |  17,6   |
1,0   |  0,5    |  0,6    |  0,4    |
0,7   |  0,4    |  0,3    |  0,3    |
1,8   |  1,2    |  0,8    |  0,7    |
1,4   |  0,9    |  0,7    |  0,6    |
18,1  |  20,3   |  19,5   |  19,0   |  18,2
19,5  |  21,2   |  20,2   |  19,6   |  19,2
92,8  |  95,8   |  96,5   |  96,9   |
