ap    |  2bw1   |  2bw2   |  2bc    |  3
0-26  |  26-38  |  38-74  |  74-96  |  96a+
3,0   |  0,7    |  1,0    |  0,5    |  0,5
-     |  -      |  -      |  -      |
0,14  |  0,01   |  0,04   |  0,03   |  0,01
-     |  -      |  -      |  -      |
18,4  |  15,1   |  18,4   |  19,6   |  12,3
31,5  |  20,2   |  20,4   |  21,2   |  12,5
47,4  |  64,3   |  60,5   |  56,6   |  73,7
0,0   |  0,0    |  0,0    |  0,0    |  0,0
-     |  -      |  -      |  -      |
-     |  -      |  -      |  -      |
7,3   |  7,3    |  7,8    |  7,3    |  7,7
12,7  |  9,1    |  11,0   |  9,1    |  7,3
0,7   |  1,3    |  0,6    |  1,7    |  0,7
0,2   |  0,1    |  0,2    |  0,2    |  0,1
0,8   |  0,4    |  0,4    |  0,5    |  0,3
1,2   |  0,5    |  -      |  0,4    |
-     |  -      |  -      |  -      |
15,6  |  12,4   |  12,2   |  11,9   |  8,6
92    |  96     |  100    |  97     |  100
