dss_TOTORAL.psv ->> ID..........................: 329
dss_TOTORAL.psv ->> CLASIFICACION...............: Argiustol údico
dss_TOTORAL.psv ->> SERIE.......................: TOTORAL (Ttrl)
dss_TOTORAL.psv ->> UBICACION...................: 4 km al Este de la localidad homónima, departamento Totoral
dss_TOTORAL.psv ->> PROVINCIA...................: CORDOBA
dss_TOTORAL.psv ->> LATITUD.....................: S300500
dss_TOTORAL.psv ->> LONGITUD....................: O640200
dss_TOTORAL.psv ->> ALTITUD.....................: 550
dss_TOTORAL.psv ->> PENDIENTE...................: FALTA!
dss_TOTORAL.psv ->> DRENAJE.....................: FALTA!
dss_TOTORAL.psv ->> ESCURRIMIENTO...............: FALTA!
dss_TOTORAL.psv ->> PERMEABILIDAD...............: FALTA!
dss_TOTORAL.psv ->> TIPO DE SUELO...............: FRANCA FINA MIXTA TÉRMICA
dss_TOTORAL.psv ->> COLOR ......................: PARDO MUY OSCURO A GRIS MUY OSCURO
dss_TOTORAL.psv ->> HORIZONTE->NOMBRE(S)........: a | bt | bc | c
dss_TOTORAL.psv ->> HORIZONTE->PROFUNDIDADES(CM): 0-23 | 23-56 | 56-75 | 75a+
dss_TOTORAL.psv ->> HORIZONTE->MATERIA ORGÁN.(%): 2,6 | 1,2 | - | 
dss_TOTORAL.psv ->> HORIZONTE->CARBONO ORGÁN.(%): 1,5 | 0,7 | - | 
dss_TOTORAL.psv ->> HORIZONTE->NITRÓGENO TOT.(%): 0,12 | 0,06 | - | 
dss_TOTORAL.psv ->> HORIZONTE->RELACIÓN C/N.....: 12,5 | 11,7 | - | 
dss_TOTORAL.psv ->> HORIZONTE->ARCILLA 2 (%)....: 24,8 | 33,1 | 30,5 | 28,5
dss_TOTORAL.psv ->> HORIZONTE->LIMO 2-50 (%)....: 50,9 | 46,4 | 49,9 | 52,9
dss_TOTORAL.psv ->> HORIZONTE->AMF 50-100 (%)...: 4,9 | 4,7 | 4,5 | 4,6
dss_TOTORAL.psv ->> HORIZONTE->AF 100-250 (%)...: 4,1 | 3,6 | 6,5 | 6,4
dss_TOTORAL.psv ->> HORIZONTE->AM 250-500 (%)...: 5,3 | 4,2 | 4,7 | 6,7
dss_TOTORAL.psv ->> HORIZONTE->AG 500-1000 (%)..: 6,0 | 4,6 | 3,9 | 3,4
dss_TOTORAL.psv ->> HORIZONTE->AMG 1-2 mm (%)...: 1,4 | 1,1 | 0,9 | 0,9
dss_TOTORAL.psv ->> HORIZONTE->CALCAREO CaCO3(%): 0,0 | 0,0 | 0,0 | 0,0
dss_TOTORAL.psv ->> HORIZONTE->EQUIV. HUMEDAD(%): 25,7 | 26,8 | 25,9 | 25,6
dss_TOTORAL.psv ->> HORIZONTE->PH PASTA.........: - | - | - | 
dss_TOTORAL.psv ->> HORIZONTE->PH H2O 1:2,5.....: 7,2 | 7,2 | 7,3 | 7,6
dss_TOTORAL.psv ->> HORIZONTE->CI ME/100G-Ca++..: 16,8 | 17,4 | 17,3 | 16,6
dss_TOTORAL.psv ->> HORIZONTE->CI ME/100G-Mg++..: 0,4 | 2,2 | 1,3 | 1,8
dss_TOTORAL.psv ->> HORIZONTE->CI ME/100G-Na+...: 0,4 | 0,4 | 0,3 | 0,3
dss_TOTORAL.psv ->> HORIZONTE->CI ME/100G-K+....: 1,9 | 1,4 | 1,1 | 1,0
dss_TOTORAL.psv ->> HORIZONTE->CI ME/100G-H+....: 1,3 | 1,1 | - | 
dss_TOTORAL.psv ->> HORIZONTE->SUM.B. ME/100G(S): 19,5 | 21,4 | 20,0 | 19,7
dss_TOTORAL.psv ->> HORIZONTE->CIC ME/100G(T)...: 20,8 | 22,5 | 20,0 | 19,7
dss_TOTORAL.psv ->> HORIZONTE->SAT.B % (S/T)....: 93,8 | 95,1 | 100 | 100
