a     |  bt     |  bc     |  c
0-22  |  22-42  |  42-62  |  62-85
4,0   |  1,9    |  -      |
2,3   |  1,1    |  -      |
0,22  |  0,11   |  -      |
10,5  |  10,0   |  -      |
23,6  |  29,9   |  27,3   |  21,2
65,4  |  58,9   |  63,6   |  67,2
5,1   |  5,2    |  4,7    |  5,4
1,4   |  1,3    |  1,1    |  1,1
1,1   |  0,9    |  0,8    |  0,7
1,0   |  1,1    |  0,8    |  0,9
0,1   |  0,4    |  0,2    |  0,7
0,0   |  0,1    |  0,0    |  0,0
27,5  |  27,4   |  26,9   |  25,8
-     |  -      |  -      |
6,5   |  6,7    |  6,9    |  7,0
18,1  |  18,8   |  17,1   |  17,0
1,5   |  2,1    |  1,5    |  1,6
0,5   |  0,5    |  0,4    |  0,4
2,3   |  1,7    |  1,7    |  1,5
1,4   |  0,7    |  0,7    |  0,5
22,4  |  23,1   |  20,7   |  20,5
23,8  |  23,8   |  21,4   |  21,0
94,1  |  97,1   |  96,7   |  97,6
