a     |  ac     |  c      |  ck
0-23  |  23-46  |  46-75  |  75a+
4,2   |  1,7    |  -      |
2,5   |  1,0    |  -      |
-     |  -      |  -      |
-     |  -      |  -      |
28,7  |  24,5   |  20,4   |  23,6
64,2  |  67,1   |  69,6   |  67,0
66,6  |  69,7   |  72,3   |  72,7
1,7   |  1,8    |  1,9    |  2,3
0,7   |  0,8    |  0,8    |  1,1
0,7   |  0,7    |  0,8    |  1,2
0,2   |  0,2    |  0,2    |  0,3
0,0   |  0,0    |  0,0    |  1,4
29,2  |  25,6   |  25,0   |  24,8
-     |  -      |  -      |
6,3   |  7,3    |  7,7    |  8,3
13,8  |  14,9   |  14,5   |
1,2   |  1,5    |  2,3    |
0,8   |  0,7    |  0,7    |  0,9
4,7   |  2,6    |  1,7    |  2,1
-     |  -      |  -      |
20,5  |  19,7   |  19,2   |
23,9  |  20,3   |  19,2   |  20,0
85,8  |  97,0   |  100,0  |  100,0
