ap    |  a      |  bt1    |  bt2    |  bc     |  ck
0-11  |  11-21  |  21-54  |  54-79  |  79-98  |  98a+
2,59  |  2,24   |  -      |  -      |  -      |
-     |  -      |  -      |  -      |  -      |
0,14  |  0,14   |  -      |  -      |  -      |
-     |  -      |  -      |  -      |  -      |
14,3  |  15,3   |  19,4   |  16,4   |  16     |  10,5
36,5  |  39,8   |  31,3   |  33,7   |  34,5   |  37,1
46,4  |  41,9   |  46,9   |  47,4   |  48     |  50
0,0   |  0,0    |  0,0    |  0,0    |  0,0    |  5,9
-     |  -      |  -      |  -      |  -      |
7,1   |  6,5    |  6,9    |  7,1    |  7,7    |  8,1
7,7   |  7,6    |  12     |  8,9    |  8,9    |
1,7   |  2,6    |  0,9    |  1,9    |  1,3    |
0,3   |  0,3    |  0,2    |  0,2    |  0,1    |  0,15
1,2   |  0,5    |  0,4    |  0,4    |  0,2    |  0,3
0,5   |  0,9    |  0,5    |  0,3    |  -      |
-     |  -      |  -      |  -      |  -      |
11,4  |  11,9   |  14     |  12,7   |  10,6   |  9,8
96    |  92     |  96     |  98     |  99     |
