ap     |  bt1    |  bt2    |  bc     |  ck
0-21   |  21-48  |  48-71  |  71-95  |  95a+
3,26   |  2      |  1      |  0,63   |
1,90   |  1,16   |  0,55   |  0,37   |
0,158  |  0,111  |  0,073  |  -      |
12,0   |  10,4   |  7,5    |  -      |
26,3   |  34,3   |  30,0   |  24,3   |  27,2
55,4   |  52,5   |  54,7   |  59,0   |  56,0
6,1    |  4,3    |  4,6    |  5,0    |  4,4
4,6    |  4,7    |  5,2    |  4,7    |  4,9
2,0    |  1,5    |  1,6    |  1,5    |  1,3
4,9    |  3,4    |  4,1    |  4,0    |  3,6
0,8    |  0,8    |  1,7    |  1,3    |  3,2
0      |  0      |  0      |  1,29   |  3,93
26,0   |  27,7   |  24,1   |  26,3   |  27,2
6,3    |  6,8    |  7,0    |  7,4    |  7,6
6,4    |  7,0    |  7,2    |  7,7    |  7,8
13,9   |  20,0   |  18,1   |  -      |
1,2    |  1,0    |  2,0    |  -      |
0,2    |  0,1    |  0,1    |  0,2    |  0,4
1,9    |  1,3    |  1,1    |  1,3    |  1,7
1,2    |  0,6    |  0,3    |  -      |
17,2   |  22,3   |  21,3   |  -      |
18,5   |  23,0   |  21,7   |  16,0   |  21,3
93     |  97     |  98     |  -      |
