a     |  bw     |  bc     |  ck
0-23  |  23-43  |  43-67  |  67a+
3,62  |  1,89   |  0,58   |
2,1   |  1,1    |  0,34   |
0,22  |  0,11   |  -      |
9,5   |  10,0   |  -      |
26,1  |  28,9   |  20,4   |  15,4
69,4  |  67,3   |  74,4   |  74,4
2,9   |  4,2    |  4,0    |  6,6
1,5   |  0,2    |  1,5    |  4,2
0,5   |  0.1    |  0,3    |  0,7
-     |  -      |  0,2    |  0,2
-     |  -      |  -      |
0     |  0      |  0      |  4,4
31,3  |  30,6   |  28,6   |  27,2
6,2   |  6,7    |  6,9    |  7,9
6,5   |  6,8    |  7,0    |  8,2
16,1  |  17,3   |  18,5   |
2,9   |  2,5    |  1,5    |
0,3   |  0,1    |  0,2    |  0,3
2,5   |  2,3    |  1,4    |  2,0
1,2   |  1,1    |  0,5    |
21,8  |  22,2   |  21,6   |
22,9  |  23,2   |  22,1   |  20,1
95    |  96     |  98     |
