a     |  bt     |  bc     |  c
0-18  |  18-50  |  50-86  |  86a+
3,69  |  1,55   |  0,68   |
2,2   |  0,9    |  0,4    |
0,22  |  0,10   |  -      |
10    |  9,0    |  -      |
21,4  |  27,9   |  25.0   |  21,0
71,7  |  66,1   |  68,2   |  73,8
4,9   |  4,8    |  3,9    |  3,9
1,8   |  0,8    |  2,6    |  2,3
0,3   |  0,4    |  0,2    |  0,2
0,8   |  0,5    |  0,4    |  0,4
0,1   |  0,1    |  -      |  0,1
0     |  0      |  0      |  0
27,2  |  29,3   |  28,6   |  24,8
6,3   |  6,5    |  6,8    |  7,0
6,5   |  6,7    |  7,0    |  7,2
15,5  |  16,8   |  15,3   |  15,5
1,5   |  1,4    |  2,2    |  1,4
0,3   |  0,1    |  0,2    |  0,1
2,7   |  1,6    |  1,9    |  1,6
1,7   |  1,2    |  0,8    |  0,5
20,0  |  19,9   |  19,6   |  18,6
21,7  |  21,3   |  20,5   |  19,0
92    |  93     |  96     |  98
