dss_PUERTAHIERROII.psv ->> ID..........................: 321
dss_PUERTAHIERROII.psv ->> CLASIFICACION...............: Ustipsamment típico
dss_PUERTAHIERROII.psv ->> SERIE.......................: PUERTA DE HIERRO II (PtaH2)
dss_PUERTAHIERROII.psv ->> UBICACION...................: 4,9 km al Oeste de la ciudad de Jesús María, departamento Colón
dss_PUERTAHIERROII.psv ->> PROVINCIA...................: CORDOBA
dss_PUERTAHIERROII.psv ->> LATITUD.....................: S305800
dss_PUERTAHIERROII.psv ->> LONGITUD....................: O640900
dss_PUERTAHIERROII.psv ->> ALTITUD.....................: 550
dss_PUERTAHIERROII.psv ->> PENDIENTE...................: FALTA!
dss_PUERTAHIERROII.psv ->> DRENAJE.....................: FALTA!
dss_PUERTAHIERROII.psv ->> ESCURRIMIENTO...............: FALTA!
dss_PUERTAHIERROII.psv ->> PERMEABILIDAD...............: FALTA!
dss_PUERTAHIERROII.psv ->> TIPO DE SUELO...............: ARENOSA MIXTA TÉRMICA
dss_PUERTAHIERROII.psv ->> COLOR ......................: PARDO GRISÁCEO MUY OSCURO
dss_PUERTAHIERROII.psv ->> HORIZONTE->NOMBRE(S)........: ap | a
dss_PUERTAHIERROII.psv ->> HORIZONTE->PROFUNDIDADES(CM): 0-12 | 12-49
dss_PUERTAHIERROII.psv ->> HORIZONTE->MATERIA ORGÁN.(%): 1,6 | 1,6
dss_PUERTAHIERROII.psv ->> HORIZONTE->CARBONO ORGÁN.(%): - | 
dss_PUERTAHIERROII.psv ->> HORIZONTE->NITRÓGENO TOT.(%): 0,9 | 0,9
dss_PUERTAHIERROII.psv ->> HORIZONTE->RELACIÓN C/N.....: - | 
dss_PUERTAHIERROII.psv ->> HORIZONTE->ARCILLA 2 (%)....: 6,5 | 6,5
dss_PUERTAHIERROII.psv ->> HORIZONTE->LIMO 2-50 (%)....: 16,0 | 16,0
dss_PUERTAHIERROII.psv ->> HORIZONTE->ARENA (%)........: 76,5 | 76,5
dss_PUERTAHIERROII.psv ->> HORIZONTE->CALCAREO CaCO3(%): 0,0 | 0,0
dss_PUERTAHIERROII.psv ->> HORIZONTE->EQUIV. HUMEDAD(%): - | 
dss_PUERTAHIERROII.psv ->> HORIZONTE->PH PASTA.........: - | 
dss_PUERTAHIERROII.psv ->> HORIZONTE->PH H2O 1:2,5.....: 6,2 | 6,2
dss_PUERTAHIERROII.psv ->> HORIZONTE->CI ME/100G-Ca++..: 4,7 | 4,7
dss_PUERTAHIERROII.psv ->> HORIZONTE->CI ME/100G-Mg++..: 0,3 | 0,3
dss_PUERTAHIERROII.psv ->> HORIZONTE->CI ME/100G-Na+...: 0,2 | 0,2
dss_PUERTAHIERROII.psv ->> HORIZONTE->CI ME/100G-K+....: 0,9 | 0,9
dss_PUERTAHIERROII.psv ->> HORIZONTE->CI ME/100G-H+....: 1,4 | 1,4
dss_PUERTAHIERROII.psv ->> HORIZONTE->SUM.B. ME/100G(S): - | 
dss_PUERTAHIERROII.psv ->> HORIZONTE->CIC ME/100G(T)...: - | 
dss_PUERTAHIERROII.psv ->> HORIZONTE->SAT.B % (S/T)....: - | 
