a      |  ac     |  ck
0-18   |  18-49  |  49a+
1,87   |  1,48   |
1,09   |  0,86   |
0,110  |  0,105  |
9,9    |  8,2    |
19,7   |  17,6   |  16,6
71,8   |  72,8   |  70,6
4,9    |  6,7    |  5,6
0,8    |  3,1    |  5,4
0,6    |  0,4    |  1,0
0,2    |  0,4    |  0,7
-      |  0,1    |  0,4
0      |  0      |  3,99
25,4   |  24,5   |  24,8
6,7    |  7,6    |  7,9
7,1    |  7,3    |  8,3
17,9   |  17,4   |
0,6    |  0,7    |
0,2    |  0,3    |  0,6
2,5    |  2,2    |  2,6
0,4    |  -      |
3,10   |  -      |
21,2   |  20,6   |
21,5   |  19,8   |  16,0
99     |  100    |
