a     |  bt     |  bc     |  ck
0-20  |  20-44  |  44-65  |  65a+
2,8   |  1,6    |  -      |
1,6   |  0,9    |  -      |
0,16  |  0,09   |  -      |
10,0  |  10,0   |  -      |
18,0  |  23,6   |  22,8   |  20,2
49,9  |  48,4   |  48,9   |  54,9
7,8   |  5,4    |  5,3    |  5,8
7,1   |  6,5    |  6,3    |  6,6
7,7   |  6,2    |  6,2    |  5,6
7,8   |  6,6    |  6,7    |  5,3
2,3   |  2,9    |  3,4    |  2,1
0,2   |  0,0    |  0,0    |  0,6
21,6  |  21,7   |  20,0   |  19,0
-     |  -      |  -      |
7,2   |  7,3    |  7,4    |  8,2
13,9  |  15,2   |  15,4   |
0,4   |  0,7    |  0,8    |
0,6   |  0,5    |  0,4    |  0,3
3,3   |  2,9    |  1,6    |  1,3
1,6   |  0,9    |  0,6    |
18,2  |  19,3   |  18,2   |
19,8  |  20,2   |  18,8   |  17,9
91,9  |  95,5   |  96,8   |  100
