a     |  bt     |  bc      |  c
0-38  |  38-90  |  90-120  |  120a+
2,1   |  0,3    |  -       |
1,2   |  0,2    |  -       |
0,11  |  0,03   |  -       |
10,9  |  6,7    |  -       |
34    |  40     |  20,3    |  26,4
56,7  |  50,1   |  60,8    |  61,2
2,8   |  3,1    |  4,2     |  5,5
1,0   |  1,3    |  1,9     |  1,8
0,7   |  1,2    |  1,4     |  1,4
0,8   |  2,1    |  1,6     |  1,9
0,3   |  1,0    |  0,7     |  0,9
0,0   |  0,0    |  0,0     |  0,0
-     |  -      |  -       |
6,5   |  6,6    |  6,7     |  6,6
19,9  |  18,6   |  13,6    |  14,1
1,0   |  0,9    |  1,1     |  0,8
0,5   |  0,4    |  0,3     |  0,4
1,9   |  1,4    |  1,2     |  1,3
1,6   |  1,0    |  0,8     |
23,3  |  21,3   |  16,2    |  16,9
24,9  |  22,3   |  17,0    |  16,9
93,5  |  95,5   |  95,3    |  100
