a     |  bw     |  bc     |  c      |  ck
0-17  |  17-37  |  37-60  |  60-80  |  80a+
2,14  |  1,10   |  0,91   |  -      |
1,24  |  0,64   |  0,53   |  -      |
0.11  |  0,08   |  -      |  -      |
11,3  |  8,0    |  -      |  -      |
15,6  |  18,7   |  17,3   |  14,2   |  10,2
55,8  |  50,1   |  55,9   |  60,1   |  62,4
5,1   |  3,7    |  6,2    |  7,1    |  5,9
7,6   |  8,5    |  6,2    |  6,1    |  7,1
3,6   |  3,9    |  2,4    |  2,6    |  3,4
8,9   |  9,8    |  6,4    |  6,6    |  7,3
2,7   |  4,6    |  4,2    |  4,3    |  4,6
0     |  0      |  0      |  0      |  2,2
21,2  |  19,3   |  20,8   |  19,7   |  20,3
6,1   |  6,8    |  6,9    |  7,3    |  7,9
6,5   |  7,1    |  7,1    |  7,5    |  8,1
13,4  |  13,2   |  13,0   |  13,4   |
1,1   |  1,7    |  1,3    |  0,6    |
0,1   |  0,3    |  0,3    |  0,2    |  0,2
1,0   |  0,9    |  0,9    |  1,1    |  1,0
1,3   |  0,9    |  0,8    |  0,2    |
15,6  |  16,1   |  15,5   |  15,3   |
16,9  |  17,2   |  16,5   |  15,5   |  12,8
92    |  94     |  94     |  99     |
