a     |  ac     |  ck
0-20  |  20-60  |  60a+
2,24  |  1,03   |
1,3   |  0,60   |
0,12  |  -      |
10,8  |  -      |
13,9  |  13,5   |  13,1
58,7  |  64,7   |  63,2
11,1  |  9,6    |  8,4
12,7  |  9,5    |  12,3
1,5   |  1,6    |  1,2
1,1   |  1,0    |  0,7
0,1   |  0,1    |
0     |  0      |  3,4
23,4  |  21,9   |  21,5
6,6   |  7,0    |  7,5
6,7   |  7,2    |  7,9
12,3  |  12,3   |
1,3   |  1,5    |
0,3   |  0,3    |  0,4
1,6   |  2,0    |  1,9
1,3   |  0,4    |
15,5  |  16,1   |
17,0  |  16,5   |  14,1
91    |  97     |
