a     |  ac     |  ck
0-23  |  23-49  |  49a+
3,1   |  1,4    |
1,8   |  0,8    |
-     |  -      |
-     |  -      |
17,0  |  11,1   |  6,9
33,1  |  24,8   |  28,7
9,0   |  8,3    |  17,2
17,2  |  19,0   |  30,9
11,1  |  13,5   |  10,9
8,4   |  14,7   |  4,6
3,4   |  8,5    |  1,4
0,0   |  0,0    |  0,9
20,7  |  13,4   |  10,5
-     |  -      |
7,6   |  7,9    |  8,3
12,5  |  10,6   |
0,8   |  0,8    |
0,4   |  0,3    |  0,5
3,0   |  1,9    |  2,1
-     |  -      |
16,6  |  13,6   |
16,6  |  13,6   |  9,6
-     |  -      |
