dss_ELBANADO.psv ->> ID..........................: 305
dss_ELBANADO.psv ->> CLASIFICACION...............: Argiustol típico
dss_ELBANADO.psv ->> SERIE.......................: EL BAÑADO (Bañ)
dss_ELBANADO.psv ->> UBICACION...................: 10 km al SO de la localidad de las Arrias, departamento Tulumba
dss_ELBANADO.psv ->> PROVINCIA...................: CORDOBA
dss_ELBANADO.psv ->> LATITUD.....................: S302600
dss_ELBANADO.psv ->> LONGITUD....................: O634000
dss_ELBANADO.psv ->> ALTITUD.....................: 273
dss_ELBANADO.psv ->> PENDIENTE...................: FALTA!
dss_ELBANADO.psv ->> DRENAJE.....................: FALTA!
dss_ELBANADO.psv ->> ESCURRIMIENTO...............: FALTA!
dss_ELBANADO.psv ->> PERMEABILIDAD...............: FALTA!
dss_ELBANADO.psv ->> TIPO DE SUELO...............: LIMOSA FINA MIXTA TÉRMICA
dss_ELBANADO.psv ->> COLOR ......................: PARDO GRISÁCEO MUY OSCURO
dss_ELBANADO.psv ->> HORIZONTE->NOMBRE(S)........: a | bt | bw | bc | c
dss_ELBANADO.psv ->> HORIZONTE->PROFUNDIDADES(CM): 0-20 | 20-34 | 34-80 | 80-120 | 120a+
dss_ELBANADO.psv ->> HORIZONTE->MATERIA ORGÁN.(%): 3,22 | 2,41 | 0,74 | 0,60 | 
dss_ELBANADO.psv ->> HORIZONTE->CARBONO ORGÁN.(%): 1,87 | 1,40 | 0,43 | 0,35 | 
dss_ELBANADO.psv ->> HORIZONTE->NITRÓGENO TOT.(%): 0,15 | 0,14 | 0,06 | - | 
dss_ELBANADO.psv ->> HORIZONTE->RELACIÓN C/N.....: 12,4 | 10,0 | 7,1 | - | 
dss_ELBANADO.psv ->> HORIZONTE->ARCILLA 2 (%)....: 22,3 | 32,1 | 23,1 | 17,3 | 13,7
dss_ELBANADO.psv ->> HORIZONTE->LIMO 2-50 (%)....: 70,5 | 62,8 | 65,3 | 72,7 | 73,2
dss_ELBANADO.psv ->> HORIZONTE->AMF 50-100 (%)...: 3,6 | 2,2 | 8,8 | 4,9 | 4,8
dss_ELBANADO.psv ->> HORIZONTE->AF 100-250 (%)...: 2,3 | 2,0 | 0,7 | 4,4 | 5,6
dss_ELBANADO.psv ->> HORIZONTE->AM 250-500 (%)...: 0,4 | 0,3 | 1,1 | 0,5 | 0,6
dss_ELBANADO.psv ->> HORIZONTE->AG 500-1000 (%)..: 0,7 | 0,9 | - | 0,8 | 1,2
dss_ELBANADO.psv ->> HORIZONTE->AMG 1-2 mm (%)...: - | - | - | - | 0,2
dss_ELBANADO.psv ->> HORIZONTE->CALCAREO CaCO3(%): 0 | 0 | 0 | 0 | 0
dss_ELBANADO.psv ->> HORIZONTE->EQUIV. HUMEDAD(%): 30,5 | 33,1 | 28,1 | 26,1 | 25,5
dss_ELBANADO.psv ->> HORIZONTE->PH PASTA.........: 6,3 | 6,5 | 6,6 | 6,8 | 6,8
dss_ELBANADO.psv ->> HORIZONTE->PH H2O 1:2,5.....: 6,5 | 6,8 | 6,9 | 7,0 | 7,0
dss_ELBANADO.psv ->> HORIZONTE->CI ME/100G-Ca++..: 16,1 | 17,8 | 13,7 | 13,4 | 13,3
dss_ELBANADO.psv ->> HORIZONTE->CI ME/100G-Mg++..: 1,8 | 2,7 | 2,5 | 1,5 | 1,1
dss_ELBANADO.psv ->> HORIZONTE->CI ME/100G-Na+...: 0,2 | 0,2 | 0,2 | 0,2 | 0,2
dss_ELBANADO.psv ->> HORIZONTE->CI ME/100G-K+....: 2,3 | 1,3 | 1,4 | 1,8 | 1,9
dss_ELBANADO.psv ->> HORIZONTE->CI ME/100G-H+....: 2,2 | 1,6 | 1,2 | 1,0 | 1,0
dss_ELBANADO.psv ->> HORIZONTE->SUM.B. ME/100G(S): 20,4 | 22,0 | 17,8 | 16,9 | 16,5
dss_ELBANADO.psv ->> HORIZONTE->CIC ME/100G(T)...: 22,5 | 23,8 | 19,0 | 18,0 | 17,5
dss_ELBANADO.psv ->> HORIZONTE->SAT.B % (S/T)....: 91 | 92 | 94 | 94 | 94
