a     |  bt     |  bw     |  bc      |  c
0-20  |  20-34  |  34-80  |  80-120  |  120a+
3,22  |  2,41   |  0,74   |  0,60    |
1,87  |  1,40   |  0,43   |  0,35    |
0,15  |  0,14   |  0,06   |  -       |
12,4  |  10,0   |  7,1    |  -       |
22,3  |  32,1   |  23,1   |  17,3    |  13,7
70,5  |  62,8   |  65,3   |  72,7    |  73,2
3,6   |  2,2    |  8,8    |  4,9     |  4,8
2,3   |  2,0    |  0,7    |  4,4     |  5,6
0,4   |  0,3    |  1,1    |  0,5     |  0,6
0,7   |  0,9    |  -      |  0,8     |  1,2
-     |  -      |  -      |  -       |  0,2
0     |  0      |  0      |  0       |  0
30,5  |  33,1   |  28,1   |  26,1    |  25,5
6,3   |  6,5    |  6,6    |  6,8     |  6,8
6,5   |  6,8    |  6,9    |  7,0     |  7,0
16,1  |  17,8   |  13,7   |  13,4    |  13,3
1,8   |  2,7    |  2,5    |  1,5     |  1,1
0,2   |  0,2    |  0,2    |  0,2     |  0,2
2,3   |  1,3    |  1,4    |  1,8     |  1,9
2,2   |  1,6    |  1,2    |  1,0     |  1,0
20,4  |  22,0   |  17,8   |  16,9    |  16,5
22,5  |  23,8   |  19,0   |  18,0    |  17,5
91    |  92     |  94     |  94      |  94
