ap     |  e      |  bt     |  bc     |  c      |  ck
0-17   |  17-30  |  30-54  |  54-73  |  73-90  |  90a+
1.96   |  -      |  -      |  -      |  -      |
1.14   |  -      |  0.19   |  0.12   |  -      |  0.11
0.125  |  0.043  |  0.040  |  0.029  |  0.023  |  0.023
9.1    |  -      |  4.7    |  4.1    |  -      |
15.5   |  8.5    |  17.2   |  15.1   |  13.1   |  12.1
38.9   |  43.9   |  38.1   |  36.9   |  35.8   |  38.8
43.3   |  42.8   |  41.7   |  44.2   |  43.0   |  45.0
1.8    |  2.9    |  4.4    |  3.3    |  7.1    |  3.5
-      |  -      |  -      |  -      |  -      |
-      |  -      |  -      |  -      |  -      |
-      |  -      |  -      |  -      |  -      |
0      |  0.47   |  0.09   |  0.147  |  0      |  1.02
1.7    |  14.1   |  22.0   |  21.1   |  16.3   |  15.1
5.2    |  7.4    |  8.2    |  8.6    |  8.5    |  8.6
5.6    |  8.9    |  9.2    |  9.3    |  9.2    |  9.3
4.9    |  -      |  6.4    |  -      |  -      |
1.9    |  -      |  1.9    |  -      |  -      |
0.6    |  -      |  8.2    |  -      |  -      |
2.5    |  -      |  2.7    |  -      |  -      |
4.1    |  -      |  -      |  -      |  -      |
-      |  -      |  44.5   |  -      |  -      |
-      |  19.2   |  6.0    |  12.9   |  18.2   |  16.5
9.9    |  -      |  19.2   |  -      |  -      |
14.0   |  16.2   |  18.4   |  18.5   |  15.6   |  14.5
70     |  -      |  100    |  -      |  -      |
-      |  20.9   |  8.8    |  10.0   |  11.5   |  11.8
-      |  11.2   |  -      |  6.5    |  7.3    |  6.2
-      |  196.0  |  52.0   |  121.0  |  180.0  |  172.0
-      |  3.9    |  1.15   |  2.2    |  3.0    |  2.5
-      |  3.0    |  5.4    |  4.0    |  3.0    |  6.8
-      |  124.0  |  19.7   |  72.8   |  101.0  |  96.0
-      |  104.0  |  33.9   |  66.4   |  105.0  |  92.4
