ap    |  e      |  bt     |  bc     |  c      |  ck
0-15  |  15-27  |  27-55  |  55-77  |  77-93  |  93a+
2.23  |  1.49   |  0.91   |  -      |  -      |
1.30  |  0.87   |  0.53   |  0.16   |  -      |  0.13
0.15  |  0.09   |  0.07   |  0.03   |  0.03   |  0.02
8.5   |  9.6    |  7.5    |  4.3    |  -      |  4.5
17.4  |  13.9   |  19.1   |  16.1   |  13.9   |  11.7
39.1  |  46.4   |  45.7   |  47.4   |  51.0   |  52.8
14.8  |  13.3   |  13.5   |  14.7   |  15.4   |  17.5
24.5  |  22.0   |  19.8   |  17.6   |  18.9   |  18.6
1.8   |  1.2    |  1.1    |  0.7    |  0.6    |  0.4
1.1   |  0.5    |  0.9    |  0.4    |  0.4    |  0.1
-     |  -      |  -      |  -      |  -      |
0     |  0      |  0      |  0.28   |  0.21   |  2.55
16.1  |  16.1   |  20.4   |  19.2   |  16.9   |  16.6
4.9   |  6.8    |  7.3    |  8.3    |  8.5    |  8.5
5     |  7.2    |  7.7    |  9      |  9.2    |  9.5
5.4   |  7.4    |  10.3   |  -      |  -      |
1.4   |  1.7    |  1.4    |  -      |  -      |
0.1   |  1      |  3.4    |  6.4    |  7.8    |  7.0
1.9   |  1.5    |  1.9    |  -      |  -      |
4.34  |  -      |  -      |  -      |  -      |
-     |  8.6    |  20.7   |  41.67  |  49.66  |  45.02
-     |  -      |  4.45   |  14.47  |  16.49  |  14.47
8.8   |  11.6   |  16.7   |  -      |  -      |
12.4  |  11.6   |  16.4   |  15.2   |  15.6   |  15.6
71    |  100    |  100    |  -      |  -      |
