ap    |  ab     |  bt     |  bcz    |  ck
0-21  |  21-32  |  32-65  |  65-80  |  80a+
-     |  -      |  -      |  -      |
1.46  |  1.36   |  0.44   |  0.27   |  0.25
0.15  |  0.13   |  0.06   |  -      |
9.7   |  10.4   |  7.3    |  -      |
23.0  |  27.5   |  33.3   |  28.1   |  22.7
68.4  |  66.4   |  59.4   |  62.8   |  67.2
8.5   |  7.6    |  7.8    |  9.0    |  7.9
0.6   |  0.3    |  0.5    |  0.8    |  0.5
0.1   |  -      |  -      |  0.1    |
0.1   |  -      |  -      |  0.1    |
-     |  -      |  -      |  -      |
0     |  0      |  0      |  0      |  2.80
24.8  |  25.0   |  26.1   |  25.7   |  25.0
5.3   |  5.4    |  6.1    |  6.6    |  8.0
5.6   |  5.6    |  6.5    |  7.0    |  8.4
8.5   |  10.5   |  -      |  -      |
1.5   |  2.1    |  -      |  -      |
0.2   |  0.3    |  -      |  -      |
2.8   |  1.7    |  -      |  -      |
2.7   |  2.5    |  0.9    |  0.3    |
-     |  -      |  -      |  -      |
-     |  -      |  9.12   |  25.5   |  25.5
13.0  |  14.6   |  -      |  -      |
16.3  |  17.5   |  20.6   |  20.0   |  16.9
-     |  79     |  83     |  -      |
-     |  -      |  27.2   |  30.4   |  28.7
-     |  -      |  10.7   |  8.4    |  9.6
-     |  -      |  50.0   |  214.4  |  216.4
-     |  -      |  2.0    |  4.8    |  4.2
-     |  -      |  1.6    |  4.8    |  3.2
-     |  -      |  11.1   |  162.8  |  176.5
-     |  -      |  80.0   |  91.2   |  75.2
