ap    |  ak     |  ack    |  ck
0-19  |  19-31  |  31-55  |  55a+
1.72  |  0.34   |  0.17   |
1.0   |  0.2    |  0.1    |
0.13  |  0.05   |  0.04   |
7.7   |  4.0    |  2.5    |
19.4  |  19.2   |  19.0   |  17.5
59.7  |  56.9   |  56.7   |  56.4
20.5  |  24.5   |  23.3   |  25.6
1.2   |  0.7    |  0.7    |  0.1
0.05  |  0.05   |  0.1    |  0.05
0.05  |  0.05   |  0.2    |  0.1
-     |  -      |  0.05   |  0.1
0.8   |  2.5    |  4.8    |  4.2
24.0  |  21.8   |  22.9   |  21.0
7.6   |  8.1    |  8.4    |  8.8
7.9   |  8.3    |  8.7    |  9.2
-     |  -      |  -      |
-     |  -      |  -      |
1.0   |  2.6    |  4.2    |  0.2
3.7   |  3.8    |  3.8    |  3.2
-     |  -      |  -      |
5.4   |  14.9   |  24.7   |
-     |  -      |  -      |
18.4  |  17.4   |  17.0   |  14.5
-     |  -      |  -      |
