a     |  bw     |  bc     |  c1
0-20  |  20-51  |  51-78  |  78-110
3.06  |  1.23   |  0.68   |
0.78  |  0.72   |  0.34   |
0.17  |  0.09   |  -      |
10.5  |  8.0    |  -      |
30.5  |  35.3   |  30.5   |  25.7
65.2  |  62.0   |  65.6   |  69.5
3.1   |  3.3    |  3.8    |  4.7
0.7   |  0.5    |  0.5    |  1.0
0.1   |  -      |  0.1    |  0.1
0.2   |  -      |  0.1    |  0.2
0.1   |  -      |  -      |
0     |  0      |  0      |  0
30.5  |  32.4   |  29.8   |  23.3
5.8   |  6.4    |  6.6    |  6.7
6.0   |  6.5    |  6.7    |  6.8
15.6  |  15.4   |  14.1   |  14.1
1.0   |  1.4    |  1.9    |  1.6
0.2   |  0.2    |  0.2    |  0.1
0.6   |  2.3    |  2.2    |  2.4
2.3   |  1.5    |  1.0    |  0.9
-     |  -      |  -      |
19.4  |  19.3   |  18.4   |  18.2
21.5  |  20.9   |  19.4   |  19.0
90    |  92     |  95     |  96
