ap    |  e      |  bt     |  bcz1   |  bck2    |  ck
0-14  |  14-22  |  22-46  |  46-66  |  66-100  |  100a+
2,59  |  1,56   |  0,77   |  -      |  -       |
1,51  |  0,91   |  0,45   |  0,19   |  0,11    |  0,07
0,14  |  0,10   |  0,07   |  0,05   |  0,04    |  0,03
10    |  9      |  6      |  4      |  3       |  2
23,4  |  20,9   |  29,6   |  21,6   |  16,2    |  14,4
51,8  |  53,2   |  53,0   |  47,3   |  48,0    |  53,3
18,5  |  24,8   |  16,5   |  29,8   |  28,8    |  26,6
6,3   |  1,2    |  0,9    |  1,1    |  1,4     |  2,0
-     |  -      |  -      |  -      |  -       |
-     |  -      |  -      |  -      |  -       |
-     |  -      |  -      |  -      |  -       |
0     |  0      |  0      |  0,2    |  5,6     |  3,7
24,2  |  24,5   |  29,1   |  24,5   |  21,2    |  21,1
5,9   |  6,6    |  7,2    |  7,7    |  8,0     |  9,0
6,6   |  7,7    |  7,5    |  8,3    |  8,7     |  9,0
9,4   |  10,2   |  12,1   |  -      |  -       |
4,8   |  4,7    |  5,3    |  -      |  -       |
0,7   |  1,5    |  3,9    |  4,2    |  6,7     |  8,4
2,7   |  2,8    |  3,2    |  3,1    |  3,3     |  3,3
6,0   |  4,2    |  3,0    |  -      |  -       |
-     |  7,6    |  15,4   |  20     |  36,6    |  56,0
-     |  -      |  5,2    |  13,0   |  9,6     |  9,9
17,6  |  19,2   |  24,5   |  -      |  -       |
19,0  |  19,0   |  25,3   |  21,0   |  18,3    |  15,0
92    |  97     |  97     |  -      |  -       |
