ek    |  btk    |  bck    |  ck
0-18  |  18-54  |  54-85  |  85a+
2.16  |  1.02   |  -      |
1.2   |  0.6    |  -      |
0.16  |  0.09   |  -      |
7.5   |  6.7    |  -      |
16.3  |  20.5   |  17.7   |  16.6
61.2  |  65.8   |  65.4   |  73.3
19.2  |  16.1   |  17.6   |  8.9
0.6   |  0.7    |  0.7    |  1.0
0.1   |  -      |  0.1    |
-     |  -      |  -      |
-     |  -      |  -      |
1.4   |  4.7    |  3.5    |  6.4
22.4  |  24.6   |  22.9   |  22.9
7.6   |  8.1    |  8.6    |  8.8
7.8   |  8.5    |  9.0    |  9.2
-     |  -      |  -      |
-     |  -      |  -      |
0.6   |  1.6    |  4.3    |  5.0
3.8   |  3.4    |  2.5    |  1.8
-     |  -      |  -      |
3     |  9      |  27     |  38
-     |  -      |  -      |
17.9  |  16.7   |  15.7   |  13.0
-     |  -      |  -      |
