a     |  ac     |  ck
0-23  |  23-53  |  53a+
1.9   |  0.96   |  0.40
1.10  |  0.56   |  0.23
0.12  |  0.09   |
9.0   |  6.2    |
16.7  |  12.2   |  10.2
68.7  |  71.1   |  71.9
15.4  |  15.0   |  15.0
0.8   |  1.0    |  0.6
0.1   |  0.05   |  0.05
0.2   |  0.05   |  0.1
-     |  -      |
0     |  0      |  4.69
21.1  |  19.9   |  19.6
6.2   |  7      |  8.2
6.4   |  7.1    |  8.3
9.2   |  10.4   |
1.1   |  1.5    |
0.2   |  0.09   |  0.4
2.8   |  1.7    |  0.7
1.5   |  0.5    |
-     |  -      |
13.9  |  13.6   |
15.6  |  14.2   |  13.7
89    |  96     |
