dss_LaSalada.psv ->> ID..........................: 720
dss_LaSalada.psv ->> CLASIFICACION...............: Natracualf típico
dss_LaSalada.psv ->> SERIE.......................: LA SALADA (LSld)
dss_LaSalada.psv ->> UBICACION...................: 5 km al SSE de Alto Alegre, departamento Unión
dss_LaSalada.psv ->> PROVINCIA...................: CORDOBA
dss_LaSalada.psv ->> LATITUD.....................: S322300
dss_LaSalada.psv ->> LONGITUD....................: O625200
dss_LaSalada.psv ->> ALTITUD.....................: 146
dss_LaSalada.psv ->> PENDIENTE...................: FALTA!
dss_LaSalada.psv ->> DRENAJE.....................: FALTA!
dss_LaSalada.psv ->> ESCURRIMIENTO...............: FALTA!
dss_LaSalada.psv ->> PERMEABILIDAD...............: FALTA!
dss_LaSalada.psv ->> TIPO DE SUELO...............: LIMOSA GRUESA, MIXTA, TÉRMICA
dss_LaSalada.psv ->> COLOR ......................: PARDO A PARDO OSCURO
dss_LaSalada.psv ->> HORIZONTE->NOMBRE(S)........: e | bt1 | bt2 | bc | ck
dss_LaSalada.psv ->> HORIZONTE->PROFUNDIDADES(CM): 0-9 | 9-32 | 32-46 | 46-74 | 74a+
dss_LaSalada.psv ->> HORIZONTE->MATERIA ORGÁN.(%): 2.13 | 0.75 | - | - | 
dss_LaSalada.psv ->> HORIZONTE->CARBONO ORGÁN.(%): 1.24 | 0.44 | 0.14 | 0.08 | 0.06
dss_LaSalada.psv ->> HORIZONTE->NITRÓGENO TOT.(%): 0.15 | 0.06 | 0.04 | - | 
dss_LaSalada.psv ->> HORIZONTE->RELACIÓN C/N.....: 7.9 | 7.0 | 3.3 | - | 
dss_LaSalada.psv ->> HORIZONTE->ARCILLA 2 (%)....: 11.3 | 19.2 | 18.9 | 16.0 | 9.6
dss_LaSalada.psv ->> HORIZONTE->LIMO 2-50 (%)....: 73.4 | 65.7 | 66.8 | 71.4 | 62.2
dss_LaSalada.psv ->> HORIZONTE->AMF 50-100 (%)...: 11.2 | 9.2 | 9.7 | 10.3 | 21.8
dss_LaSalada.psv ->> HORIZONTE->AF 100-250 (%)...: 4.2 | 4.3 | 3.9 | 3.9 | 5.4
dss_LaSalada.psv ->> HORIZONTE->AM 250-500 (%)...: 0.2 | 0.9 | 0.1 | - | 
dss_LaSalada.psv ->> HORIZONTE->AG 500-1000 (%)..: - | - | - | - | 
dss_LaSalada.psv ->> HORIZONTE->AMG 1-2 mm (%)...: - | - | - | - | 
dss_LaSalada.psv ->> HORIZONTE->CALCAREO CaCO3(%): 0 | 0.63 | 0.81 | 0.84 | 1.87
dss_LaSalada.psv ->> HORIZONTE->EQUIV. HUMEDAD(%): 20.8 | 33.5 | 37.4 | 30 | 21
dss_LaSalada.psv ->> HORIZONTE->PH PASTA.........: 6.3 | 9.4 | 9.1 | 9.0 | 8.8
dss_LaSalada.psv ->> HORIZONTE->PH H2O 1:2,5.....: 6.8 | 10 | 9.7 | 9.7 | 9.6
dss_LaSalada.psv ->> HORIZONTE->CI ME/100G-Ca ++.: 6.1 | - | - | - | 
dss_LaSalada.psv ->> HORIZONTE->CI ME/100G-Mg ++.: 1.4 | - | - | - | 
dss_LaSalada.psv ->> HORIZONTE->CI ME/100G-Na +..: 3.8 | 20.8 | 18.0 | 12.4 | 4.6
dss_LaSalada.psv ->> HORIZONTE->CI ME/100G-K +...: 2.4 | 3.6 | 3.4 | 2.7 | 1.9
dss_LaSalada.psv ->> HORIZONTE->CI ME/100G-H +...: 0.90 | - | - | - | 
dss_LaSalada.psv ->> HORIZONTE->Na+ % DEL VALOR T: 26.4 | 76.4 | 70.8 | 50.9 | 25.8
dss_LaSalada.psv ->> HORIZONTE->CONDUCT mmhos/cm.: 5.58 | - | - | - | 
dss_LaSalada.psv ->> HORIZONTE->SUM.B. ME/100G(S): 13.7 | - | - | - | 
dss_LaSalada.psv ->> HORIZONTE->CIC ME/100G(T)...: 14.4 | 27.2 | 25.4 | 20.8 | 17.8
dss_LaSalada.psv ->> HORIZONTE->SAT.B % (S/T)....: 95 | - | - | - | 
