dss_JamesCraick.psv ->> ID..........................: 712
dss_JamesCraick.psv ->> CLASIFICACION...............: Natracualf álbico
dss_JamesCraick.psv ->> SERIE.......................: JAMES CRAIK (JmsCr)
dss_JamesCraick.psv ->> UBICACION...................: 12,7 km al SSE de Oliva
dss_JamesCraick.psv ->> PROVINCIA...................: CORDOBA
dss_JamesCraick.psv ->> LATITUD.....................: S320800
dss_JamesCraick.psv ->> LONGITUD....................: O633100
dss_JamesCraick.psv ->> ALTITUD.....................: 251
dss_JamesCraick.psv ->> PENDIENTE...................: FALTA!
dss_JamesCraick.psv ->> DRENAJE.....................: FALTA!
dss_JamesCraick.psv ->> ESCURRIMIENTO...............: FALTA!
dss_JamesCraick.psv ->> PERMEABILIDAD...............: FALTA!
dss_JamesCraick.psv ->> TIPO DE SUELO...............: FRANCA GRUESA, MIXTA, TÉRMICA
dss_JamesCraick.psv ->> COLOR ......................: PARDO OSCURO
dss_JamesCraick.psv ->> HORIZONTE->NOMBRE(S)........: ek | btk | bck | ck
dss_JamesCraick.psv ->> HORIZONTE->PROFUNDIDADES(CM): 0-18 | 18-54 | 54-85 | 85a+
dss_JamesCraick.psv ->> HORIZONTE->MATERIA ORGÁN.(%): 2.16 | 1.02 | - | 
dss_JamesCraick.psv ->> HORIZONTE->CARBONO ORGÁN.(%): 1.2 | 0.6 | - | 
dss_JamesCraick.psv ->> HORIZONTE->NITRÓGENO TOT.(%): 0.16 | 0.09 | - | 
dss_JamesCraick.psv ->> HORIZONTE->RELACIÓN C/N.....: 7.5 | 6.7 | - | 
dss_JamesCraick.psv ->> HORIZONTE->ARCILLA 2 (%)....: 16.3 | 20.5 | 17.7 | 16.6
dss_JamesCraick.psv ->> HORIZONTE->LIMO 2-50 (%)....: 61.2 | 65.8 | 65.4 | 73.3
dss_JamesCraick.psv ->> HORIZONTE->AMF 50-100 (%)...: 19.2 | 16.1 | 17.6 | 8.9
dss_JamesCraick.psv ->> HORIZONTE->AF 100-250 (%)...: 0.6 | 0.7 | 0.7 | 1.0
dss_JamesCraick.psv ->> HORIZONTE->AM 250-500 (%)...: 0.1 | - | 0.1 | 
dss_JamesCraick.psv ->> HORIZONTE->AG 500-1000 (%)..: - | - | - | 
dss_JamesCraick.psv ->> HORIZONTE->AMG 1-2 mm (%)...: - | - | - | 
dss_JamesCraick.psv ->> HORIZONTE->CALCAREO CaCO3(%): 1.4 | 4.7 | 3.5 | 6.4
dss_JamesCraick.psv ->> HORIZONTE->EQUIV. HUMEDAD(%): 22.4 | 24.6 | 22.9 | 22.9
dss_JamesCraick.psv ->> HORIZONTE->PH PASTA.........: 7.6 | 8.1 | 8.6 | 8.8
dss_JamesCraick.psv ->> HORIZONTE->PH H2O 1:2,5.....: 7.8 | 8.5 | 9.0 | 9.2
dss_JamesCraick.psv ->> HORIZONTE->CI ME/100G-Ca ++.: - | - | - | 
dss_JamesCraick.psv ->> HORIZONTE->CI ME/100G-Mg ++.: - | - | - | 
dss_JamesCraick.psv ->> HORIZONTE->CI ME/100G-Na +..: 0.6 | 1.6 | 4.3 | 5.0
dss_JamesCraick.psv ->> HORIZONTE->CI ME/100G-K +...: 3.8 | 3.4 | 2.5 | 1.8
dss_JamesCraick.psv ->> HORIZONTE->CI ME/100G-H +...: - | - | - | 
dss_JamesCraick.psv ->> HORIZONTE->Na+ % DEL VALOR T: 3 | 9 | 27 | 38
dss_JamesCraick.psv ->> HORIZONTE->SUM.B. ME/100G(S): - | - | - | 
dss_JamesCraick.psv ->> HORIZONTE->CIC ME/100G(T)...: 17.9 | 16.7 | 15.7 | 13.0
dss_JamesCraick.psv ->> HORIZONTE->SAT.B % (S/T)....: - | - | - | 
