a1    |  e      |  bt     |  bck    |  ck
0-20  |  20-26  |  26-48  |  48-72  |  72a+
2.24  |  1.20   |  0.51   |  0.17   |
1.3   |  0.7    |  0.3    |  0.1    |
0.15  |  0.11   |  0.08   |  -      |
8.7   |  6.4    |  3.7    |  -      |
12.3  |  11.2   |  14.6   |  11.7   |  8.1
68.0  |  69.9   |  64.9   |  64.2   |  64.9
16.3  |  17.9   |  14.6   |  20.4   |  23.6
1.5   |  1.6    |  2.8    |  1.4    |  1.2
0.2   |  -      |  0.4    |  0.2    |
0.3   |  -      |  1.1    |  0.2    |
-     |  -      |  0.2    |  -      |
0     |  0      |  1.3    |  3.1    |  4.3
15.1  |  19.3   |  25.1   |  24.8   |  22.6
5.6   |  6.3    |  8.2    |  8.9    |  8.9
5.8   |  6.5    |  8.8    |  9.5    |  9.6
8.6   |  6.7    |  -      |  -      |
0.5   |  1.5    |  -      |  -      |
0.2   |  0.6    |  5.8    |  7.6    |
3.1   |  2.0    |  4.0    |  4.5    |
2.3   |  1.6    |  -      |  -      |
-     |  -      |  30.53  |  42.46  |  37.5
-     |  -      |  -      |  4.41   |  8.23
12.5  |  10.8   |  -      |  -      |
14.6  |  12.5   |  19.0   |  17.9   |  15.7
86    |  86     |  -      |  -      |
-     |  -      |  -      |  3.3    |  4.9
-     |  -      |  -      |  1.6    |  1.7
-     |  -      |  -      |  39.9   |  76.8
-     |  -      |  -      |  1.8    |  0.8
-     |  -      |  -      |  12.4   |  14.4
-     |  -      |  -      |  12.3   |  27.4
-     |  -      |  -      |  22.4   |  44.8
