a1    |  bt     |  bc     |  ck
0-19  |  19-42  |  42-74  |  74a+
2.93  |  0.68   |  0.17   |
1.7   |  0.4    |  0.1    |
0.20  |  0.09   |  -      |
8.5   |  4.4    |  -      |
21.5  |  39.4   |  23.9   |  14.4
64.9  |  50.2   |  55.8   |  62.5
12.1  |  11.2   |  18.2   |  22.4
0.3   |  0.3    |  0.4    |  0.4
0.2   |  0.2    |  0.2    |  0.2
-     |  -      |  0.3    |
-     |  -      |  -      |
0     |  0.5    |  0.9    |  2.2
29.6  |  38.2   |  28.8   |  20.5
7.6   |  8.0    |  8.6    |  8.4
7.9   |  8.6    |  8.9    |  9.0
10.7  |  -      |  -      |
1.5   |  -      |  -      |
4.7   |  3.2    |  -      |  6.2
1.8   |  1.0    |  -      |  1.9
-     |  -      |  -      |
25.2  |  15.9   |  33     |  56.3
-     |  5.14   |  9.01   |
18.7  |  -      |  -      |
18.6  |  20.1   |  16.5   |  11.0
-     |  -      |  -      |
-     |  9.2    |  10.8   |
-     |  1.4    |  2.2    |
-     |  40     |  84     |
-     |  2      |  2      |
-     |  12.8   |  4.8    |
-     |  27.2   |  59.9   |
-     |  15.8   |  36.8   |
