dss_ColoniaVidela.psv ->> ID..........................: 706
dss_ColoniaVidela.psv ->> CLASIFICACION...............: Duracuol típico
dss_ColoniaVidela.psv ->> SERIE.......................: COLONIA VIDELA (ColV)
dss_ColoniaVidela.psv ->> UBICACION...................: 14,3 km al SSO de la Estación Experimental Agropecuaria INTA Manfredi
dss_ColoniaVidela.psv ->> PROVINCIA...................: CORDOBA
dss_ColoniaVidela.psv ->> LATITUD.....................: S315830
dss_ColoniaVidela.psv ->> LONGITUD....................: O634915
dss_ColoniaVidela.psv ->> ALTITUD.....................: 291
dss_ColoniaVidela.psv ->> PENDIENTE...................: FALTA!
dss_ColoniaVidela.psv ->> DRENAJE.....................: FALTA!
dss_ColoniaVidela.psv ->> ESCURRIMIENTO...............: FALTA!
dss_ColoniaVidela.psv ->> PERMEABILIDAD...............: FALTA!
dss_ColoniaVidela.psv ->> TIPO DE SUELO...............: FINA, ILLÍTICA, TÉRMICA
dss_ColoniaVidela.psv ->> COLOR ......................: PARDO GRISÁCEO OSCURO
dss_ColoniaVidela.psv ->> HORIZONTE->NOMBRE(S)........: ap | a | bw1 | bw2 | bcm
dss_ColoniaVidela.psv ->> HORIZONTE->PROFUNDIDADES(CM): 0-16 | 16-24 | 24-46 | 46-84 | 84a+
dss_ColoniaVidela.psv ->> HORIZONTE->MATERIA ORGÁN.(%): 3.73 | 3.69 | 1.30 | 0.17 | 0.06
dss_ColoniaVidela.psv ->> HORIZONTE->CARBONO ORGÁN.(%): 2.75 | 2.15 | 0.76 | 0.10 | 0.04
dss_ColoniaVidela.psv ->> HORIZONTE->NITRÓGENO TOT.(%): 0.23 | 0.20 | 0.11 | 0.07 | 
dss_ColoniaVidela.psv ->> HORIZONTE->RELACIÓN C/N.....: 9.3 | 10.5 | 6.6 | 1.3 | 
dss_ColoniaVidela.psv ->> HORIZONTE->ARCILLA 2 (%)....: 42.4 | 43.5 | 41.8 | 40.2 | 34.5
dss_ColoniaVidela.psv ->> HORIZONTE->LIMO 2-50 (%)....: 55.0 | 54.2 | 54.0 | 53.4 | 58.9
dss_ColoniaVidela.psv ->> HORIZONTE->AMF 50-100 (%)...: 2.1 | 2.5 | 4.9 | 6.8 | 6.8
dss_ColoniaVidela.psv ->> HORIZONTE->AF 100-250 (%)...: 0.4 | 0.2 | 0.2 | 0.4 | 0.5
dss_ColoniaVidela.psv ->> HORIZONTE->AM 250-500 (%)...: - | - | - | - | 
dss_ColoniaVidela.psv ->> HORIZONTE->AG 500-1000 (%)..: - | - | - | - | 
dss_ColoniaVidela.psv ->> HORIZONTE->AMG 1-2 mm (%)...: - | - | - | - | 
dss_ColoniaVidela.psv ->> HORIZONTE->CALCAREO CaCO3(%): 0 | 0 | 0 | 0 | 0
dss_ColoniaVidela.psv ->> HORIZONTE->EQUIV. HUMEDAD(%): 35.1 | 38.6 | 30.9 | 29.7 | 29.0
dss_ColoniaVidela.psv ->> HORIZONTE->PH PASTA.........: 4.9 | 4.9 | 5.6 | 5.9 | 5.9
dss_ColoniaVidela.psv ->> HORIZONTE->PH H2O 1:2,5.....: 5.3 | 5.3 | 5.8 | 6.3 | 6.4
dss_ColoniaVidela.psv ->> HORIZONTE->CI ME/100G-Ca ++.: 14.3 | 13.8 | 13.9 | 14.4 | 14.0
dss_ColoniaVidela.psv ->> HORIZONTE->CI ME/100G-Mg ++.: 3.1 | 2.6 | 2.3 | 1.9 | 1.9
dss_ColoniaVidela.psv ->> HORIZONTE->CI ME/100G-Na +..: 0.2 | 0.2 | 0.07 | 0.07 | 0.2
dss_ColoniaVidela.psv ->> HORIZONTE->CI ME/100G-K +...: 2.6 | 2.6 | 2.1 | 2.1 | 2.1
dss_ColoniaVidela.psv ->> HORIZONTE->CI ME/100G-H +...: 4.0 | 4.3 | 2.4 | 1.6 | 1.4
dss_ColoniaVidela.psv ->> HORIZONTE->Na+ % DEL VALOR T: - | - | - | - | 
dss_ColoniaVidela.psv ->> HORIZONTE->SUM.B. ME/100G(S): 20.2 | 19.4 | 18.4 | 18.4 | 18.3
dss_ColoniaVidela.psv ->> HORIZONTE->CIC ME/100G(T)...: 24.2 | 23.9 | 21.0 | 20.2 | 19.7
dss_ColoniaVidela.psv ->> HORIZONTE->SAT.B % (S/T)....: 83 | 81 | 88 | 91 | 93
