ap     |  e      |  bt     |  bc     |  ckm
0-17   |  17-38  |  38-68  |  68-86  |  86a+
1.87   |  1.05   |  0.84   |  -      |
1.09   |  0.61   |  0.49   |  0.25   |  0.20
0.11   |  0.07   |  0.06   |  0.04   |  0.03
9.3    |  8.6    |  7.4    |  6.2    |  5.4
14.7   |  16.3   |  20.8   |  12.4   |  11.2
69.11  |  69.9   |  65.1   |  70.7   |  66.1
14.3   |  13.1   |  11.5   |  14.4   |  18.6
1.0    |  0.7    |  0.8    |  1.3    |  1.9
-      |  -      |  -      |  -      |
-      |  -      |  -      |  -      |
-      |  -      |  -      |  -      |
0      |  0      |  0      |  0.70   |  2.93
19.6   |  21.3   |  25.3   |  24.2   |  22.5
5.8    |  6.9    |  7.0    |  7.7    |  7.9
6.3    |  7.5    |  7.5    |  8.4    |  8.5
7.5    |  13.6   |  17.0   |  -      |
1.6    |  1.8    |  2.6    |  -      |
-      |  0.8    |  1.6    |  2.0    |  1.9
2.0    |  1.8    |  2.2    |  2.6    |  2.4
2.4    |  1.1    |  0.9    |  -      |
-      |  -      |  -      |  -      |
13.1   |  17.6   |  22.6   |  -      |
15.4   |  18.6   |  22.9   |  18.0   |  16.8
85.0   |  94.6   |  98.6   |  -      |
