a     |  e      |  bt     |  bc     |  ck
0-21  |  21-26  |  26-40  |  40-57  |  57a+
2.24  |  1.03   |  0.51   |  0.34   |
1.3   |  0.6    |  0.3    |  0.2    |
0.16  |  0.09   |  0.08   |  -      |
8.1   |  6.7    |  3.7    |  -      |
11.8  |  11.0   |  14.4   |  11.0   |  7.9
67.6  |  66.7   |  66.7   |  65.6   |  62.5
13.5  |  15.2   |  12.4   |  17.7   |  23.3
4.6   |  4.6    |  4.1    |  4.6    |  4.3
0.3   |  0.6    |  0.3    |  0.3    |  0.4
0.3   |  0.4    |  0.2    |  0.2    |  0.2
0.1   |  -      |  -      |  -      |
0     |  0      |  0      |  1.8    |  3.9
23.6  |  20.2   |  26.5   |  19.5   |  17.7
5.6   |  6.3    |  7.1    |  7.6    |  8.1
5.8   |  6.5    |  7.2    |  8.0    |  8.5
7.9   |  7.4    |  13.8   |  -      |
1.5   |  1.3    |  2.4    |  -      |
0.2   |  0.1    |  0.1    |  0.3    |  0.5
2.8   |  2.6    |  3.2    |  2.9    |  3.3
1.9   |  1.0    |  0.4    |  -      |
-     |  -      |  -      |  -      |
12.4  |  11.4   |  19.5   |  -      |
14.5  |  12.6   |  20.3   |  19.7   |  14.3
86    |  90     |  90     |  -      |
