a1    |  bw     |  bc     |  c      |  ck
0-17  |  17-38  |  38-62  |  62-80  |  80a+
3.01  |  1.87   |  1.15   |  0.43   |  0.34
1.75  |  1.09   |  0.67   |  0.25   |  0.20
0.17  |  0.13   |  0.06   |  0.05   |  0.05
10.1  |  8.0    |  9.8    |  4.3    |  3.8
19.5  |  21.5   |  15.5   |  11.1   |  13.4
65.8  |  60.0   |  63.8   |  63.7   |  63.6
14.0  |  17.9   |  16.3   |  21.8   |  19.0
2.9   |  1.1    |  4.27   |  4.3    |  3.6
-     |  -      |  -      |  -      |
-     |  -      |  -      |  -      |
-     |  -      |  -      |  -      |
0     |  0      |  0      |  0      |  3.73
25.4  |  25.4   |  20.9   |  18.7   |  19
6.2   |  6.6    |  6.9    |  7.1    |  7.9
6.3   |  6.7    |  7.1    |  7.3    |  8.4
11    |  14     |  11.7   |  11.4   |
5     |  2.6    |  3.6    |  2.6    |
0.3   |  0.3    |  0.4    |  0.4    |  0.5
2     |  1.5    |  0.9    |  1.2    |  1
2.5   |  1.7    |  1.1    |  0.8    |
-     |  -      |  -      |  -      |
18.3  |  18.4   |  16.6   |  15.6   |
20.8  |  20.1   |  17.4   |  16.2   |  15.2
87.9  |  91.5   |  95.4   |  96.2   |
