e      |  bt     |  bc     |  c      |  2ck
0-17   |  17-41  |  41-60  |  60-97  |  97a+
0.73   |  0.48   |  -      |  -      |
0.43   |  0.28   |  0.10   |  0.10   |  0.06
0.060  |  0.043  |  0.031  |  0.031  |
7.1    |  6.5    |  3.2    |  3.2    |
17.5   |  19.5   |  17.8   |  17.7   |  11.8
41.5   |  45.2   |  40.7   |  37.3   |  58.0
7.2    |  7.0    |  7.1    |  8.0    |  17.3
26.6   |  22.7   |  25.2   |  30.0   |  9.0
4.6    |  3.7    |  7.0    |  5.4    |  0.9
2.4    |  2.1    |  2.8    |  2.1    |  0.5
0.1    |  -      |  -      |  -      |
0.16   |  0.73   |  0.51   |  0.09   |  2.70
21.6   |  29.8   |  25.6   |  21.2   |  22.1
8.6    |  8.9    |  8.9    |  8.6    |  8.6
9.6    |  9.8    |  9.7    |  9.5    |  9.5
-      |  -      |  -      |  6.1    |
-      |  -      |  -      |  1.1    |
7.2    |  16.4   |  11.4   |  7.6    |  7.9
1.6    |  2.4    |  2.3    |  1.8    |  2.4
-      |  -      |  -      |  -      |
57     |  83.6   |  68.6   |  48.7   |  56
-      |  4.54   |  -      |  -      |
-      |  -      |  -      |  16.6   |
12.6   |  19.6   |  16.6   |  15.6   |  14
-      |  -      |  -      |  100    |
-      |  3.0    |  -      |  -      |
-      |  0.8    |  -      |  -      |
-      |  47.0   |  -      |  -      |
-      |  0.35   |  -      |  -      |
-      |  15.0   |  -      |  -      |
-      |  35.6   |  -      |  -      |
-      |  1.5    |  -      |  -      |
