ap    |  bt     |  bw     |  bc     |  ck
0-17  |  17-38  |  38-53  |  53-86  |  86a+
1.85  |  0.72   |  -      |  -      |
1.08  |  0.42   |  0.21   |  0.15   |  0.10
0.12  |  0.06   |  0.04   |  0.03   |  0.02
8.6   |  6.7    |  4.6    |  4.0    |  3.4
14.6  |  19.9   |  15.7   |  13.6   |  11.5
72.6  |  67.7   |  68.9   |  69.8   |  71.6
11.9  |  10.9   |  12.4   |  14.8   |  15.6
0.9   |  1.5    |  1.7    |  1.3    |  1.4
-     |  -      |  1.6    |  -      |
-     |  -      |  0.7    |  -      |
-     |  -      |  -      |  -      |
0     |  0.44   |  1.28   |  0.70   |  3.52
26.3  |  32.5   |  28     |  23.3   |  22.7
5.5   |  8.3    |  8.5    |  8.5    |  8.8
6.0   |  9.3    |  9.5    |  9.5    |  9.7
8.8   |  -      |  -      |  -      |
1.4   |  -      |  -      |  -      |
0.2   |  12.0   |  12.4   |  10.8   |  10.4
2.9   |  4.0    |  4.0    |  5.0    |  4.0
3.1   |  -      |  -      |  -      |
-     |  48.3   |  54.3   |  54.8   |  52.7
13.3  |  -      |  -      |  -      |
16.8  |  24.8   |  22.8   |  19.7   |  19.7
79.1  |  -      |  -      |  -      |
-     |  5.2    |  5.9    |  5.2    |  5.7
-     |  -      |  0.1    |  -      |  0.08
-     |  45.0   |  50.0   |  53.0   |  69.0
-     |  0.75   |  0.8    |  0.9    |  1.0
-     |  9.3    |  7.6    |  6.8    |  10.0
-     |  20.5   |  35.6   |  34.6   |  47.9
-     |  22.6   |  12.8   |  16.0   |  16.0
