e1    |  e2     |  bt1    |  bt2k   |  bck     |  ck
0-12  |  12-29  |  29-55  |  55-75  |  75-100  |  100a+
2.5   |  2      |  0.8    |  0.35   |  -       |
1.5   |  1.2    |  0.5    |  0.2    |  -       |
0.15  |  0.13   |  0.07   |  -      |  -       |
10.0  |  9.2    |  7.1    |  -      |  -       |
16.3  |  14.4   |  18.8   |  18.1   |  17.1    |  15.6
73.1  |  74.6   |  60.9   |  69.4   |  71.3    |  70.6
7.9   |  7.6    |  20.5   |  10.7   |  11.3    |  11.3
0.7   |  1.4    |  0.7    |  1.0    |  1.2     |  1.2
0.2   |  0.2    |  -      |  0.1    |  0.1     |  0.1
0.2   |  0.2    |  -      |  0.1    |  0.1     |  0.1
-     |  -      |  -      |  -      |  -       |
0     |  0      |  0.8    |  7.9    |  6.5     |  5.1
24.0  |  22.8   |  27.0   |  23.3   |  22.3    |  20.5
6.4   |  6.6    |  7.4    |  7.8    |  8.0     |  8.1
6.7   |  6.9    |  7.7    |  8.1    |  8.3     |  8.4
13.9  |  11.9   |  -      |  -      |  -       |
0.5   |  0.7    |  -      |  -      |  -       |
0.4   |  0.2    |  0.2    |  0.3    |  0.5     |  0.7
2.9   |  2.6    |  3.4    |  3.0    |  3.2     |  3.4
1.3   |  0.8    |  -      |  -      |  -       |
2.1   |  1.2    |  0.9    |  1.7    |  3.0     |  4.5
17.7  |  15.4   |  -      |  -      |  -       |
18.8  |  16.4   |  22.9   |  17.2   |  16.7    |  15.7
94    |  94     |  -      |  -      |  -       |
